model_size,init_time,tokens,decode_time,speed,count
12b,2.61,30,0.75,40.21,10
12b,2.13,30,0.54,55.72,10
12b,2.41,30,0.56,53.86,10
12b,1.64,30,0.53,56.37,10
12b,1.73,30,0.64,46.57,10
12b,2.11,30,0.58,51.47,10
12b,2.08,30,0.59,50.65,10
12b,2.06,30,0.58,51.64,10
12b,2.07,30,0.53,56.76,10
12b,1.62,30,0.66,45.57,10
12b,2.62,30,0.73,41.21,10
12b,2.08,30,0.55,54.33,10
12b,2.05,30,0.53,56.66,10
12b,1.63,30,0.53,56.89,10
12b,1.73,30,0.53,56.93,10
12b,1.89,30,0.60,50.12,10
12b,1.98,30,0.53,56.59,10
12b,1.68,30,0.53,56.67,10
12b,1.74,30,0.53,56.77,10
12b,1.73,30,0.65,46.09,10
12b,2.89,30,0.82,36.46,10
12b,1.83,30,0.60,49.68,10
12b,1.84,30,0.57,52.37,10
12b,1.77,30,0.57,52.57,10
12b,1.74,30,0.59,51.08,10
12b,1.75,30,0.56,53.53,10
12b,1.79,30,0.61,49.28,10
12b,1.77,30,0.58,51.66,10
12b,1.71,30,0.59,51.23,10
12b,1.83,30,0.59,50.81,10
12b,2.61,30,0.73,41.11,10
12b,2.12,30,0.54,55.29,10
12b,2.15,30,0.53,56.93,10
12b,2.07,30,0.53,56.73,10
12b,2.16,30,0.53,56.30,10
12b,1.64,30,0.53,56.92,10
12b,1.65,30,0.53,56.54,10
12b,1.89,30,0.66,45.60,10
12b,1.72,30,0.53,57.01,10
12b,1.90,30,0.66,45.14,10
12b,2.80,30,0.83,36.10,10
12b,1.75,30,0.60,50.33,10
12b,1.82,30,0.59,51.10,10
12b,1.74,30,0.58,51.39,10
12b,1.99,30,0.53,56.76,10
12b,2.26,30,0.59,51.28,10
12b,1.87,30,0.58,51.29,10
12b,1.85,30,0.57,52.39,10
12b,1.73,30,0.59,51.03,10
12b,1.72,30,0.60,50.13,10
12b,2.84,30,0.81,37.17,10
12b,2.04,30,0.59,50.65,10
12b,2.00,30,0.53,56.24,10
12b,2.06,30,0.53,56.48,10
12b,1.74,30,0.53,56.57,10
12b,1.72,30,0.53,56.56,10
12b,1.71,30,0.53,56.56,10
12b,1.74,30,0.53,56.90,10
12b,1.97,30,0.56,54.03,10
12b,2.06,30,0.59,50.43,10
12b,3.24,30,0.80,37.41,10
12b,1.75,30,0.58,51.42,10
12b,2.05,30,0.53,56.41,10
12b,2.02,30,0.53,56.63,10
12b,2.26,30,0.59,51.03,10
12b,2.01,30,0.67,44.54,10
12b,1.81,30,0.65,45.88,10
12b,2.08,30,0.58,51.58,10
12b,1.73,30,0.65,46.27,10
12b,1.76,30,0.68,44.38,10
12b,2.87,30,0.89,33.80,10
12b,2.09,30,0.66,45.21,10
12b,2.15,30,0.53,56.12,10
12b,1.63,30,0.53,56.53,10
12b,1.62,30,0.53,56.21,10
12b,1.64,30,0.53,56.48,10
12b,1.73,30,0.54,55.98,10
12b,1.99,30,0.56,53.47,10
12b,1.65,30,0.53,56.57,10
12b,2.10,30,0.68,44.21,10
12b,2.78,30,0.81,37.25,10
12b,2.06,30,0.59,50.45,10
12b,2.06,30,0.60,50.08,10
12b,2.07,30,0.58,51.55,10
12b,2.07,30,0.58,51.86,10
12b,1.92,30,0.53,56.28,10
12b,1.96,30,0.53,56.78,10
12b,2.06,30,0.59,51.23,10
12b,2.17,30,0.53,56.59,10
12b,2.06,30,0.59,50.71,10
12b,3.44,30,0.82,36.64,10
12b,1.82,30,0.59,50.48,10
12b,2.01,30,0.53,56.64,10
12b,2.02,30,0.53,56.30,10
12b,2.15,30,0.59,51.09,10
12b,1.75,30,0.59,50.78,10
12b,1.88,30,0.60,50.18,10
12b,1.77,30,0.60,49.72,10
12b,1.76,30,0.60,50.22,10
12b,1.86,30,0.61,49.40,10
12b,2.83,30,0.79,37.94,10
12b,2.06,30,0.58,52.00,10
12b,2.07,30,0.59,51.13,10
12b,2.05,30,0.58,51.67,10
12b,2.15,30,0.53,56.36,10
12b,1.64,30,0.53,56.61,10
12b,1.73,30,0.53,56.84,10
12b,1.97,30,0.53,56.93,10
12b,2.14,30,0.53,56.88,10
12b,2.07,30,0.58,51.85,10
12b,2.84,30,0.80,37.48,10
12b,2.05,30,0.59,51.02,10
12b,2.06,30,0.59,50.58,10
12b,2.06,30,0.58,51.32,10
12b,2.04,30,0.53,56.76,10
12b,2.14,30,0.53,56.59,10
12b,1.74,30,0.53,56.55,10
12b,1.82,30,0.53,56.56,10
12b,1.81,30,0.58,52.16,10
