model_size,init_time,tokens,decode_time,speed,count
27b,5.04,30,1.16,25.82,5
27b,4.04,30,0.96,31.19,5
27b,4.15,30,0.97,31.08,5
27b,3.81,30,1.00,30.14,5
27b,4.03,30,0.97,30.96,5
27b,6.73,30,1.21,24.80,5
27b,3.33,30,0.97,31.00,5
27b,3.32,30,0.97,31.02,5
27b,3.31,30,0.97,31.04,5
27b,3.52,30,0.97,30.88,5
27b,5.82,30,1.21,24.88,5
27b,3.31,30,0.97,30.95,5
27b,3.51,30,0.97,30.94,5
27b,3.33,30,0.97,31.02,5
27b,3.30,30,0.97,31.03,5
27b,5.04,30,1.16,25.78,5
27b,3.39,30,0.97,31.07,5
27b,3.28,30,0.97,31.02,5
27b,3.36,30,0.97,31.06,5
27b,4.09,30,0.97,30.85,5
27b,6.31,30,1.21,24.81,5
27b,3.48,30,0.97,30.95,5
27b,3.32,30,0.97,30.94,5
27b,3.30,30,0.97,30.93,5
27b,3.49,30,0.97,31.05,5
27b,5.61,30,1.21,24.84,5
27b,3.21,30,0.97,31.04,5
27b,3.51,30,0.97,30.87,5
27b,3.51,30,0.97,31.04,5
27b,3.39,30,0.97,31.08,5
27b,5.50,30,1.21,24.79,5
27b,3.29,30,0.97,30.97,5
27b,3.52,30,0.97,30.93,5
27b,3.34,30,0.97,31.01,5
27b,3.34,30,0.97,31.03,5
27b,5.07,30,1.17,25.54,5
27b,3.18,30,0.96,31.22,5
27b,4.05,30,0.97,30.99,5
27b,3.75,30,0.97,30.95,5
27b,4.26,30,0.96,31.09,5
27b,5.09,30,1.18,25.38,5
27b,3.97,30,0.97,30.81,5
27b,4.18,30,0.96,31.18,5
27b,3.33,30,0.96,31.14,5
27b,3.71,30,0.99,30.29,5
27b,5.03,30,1.18,25.50,5
27b,3.37,30,0.98,30.61,5
27b,3.52,30,0.97,30.97,5
27b,3.33,30,0.97,30.97,5
27b,3.51,30,0.97,30.99,5
27b,5.19,30,1.18,25.45,5
27b,3.79,30,0.99,30.20,5
27b,3.99,30,0.97,30.86,5
27b,4.18,30,0.97,31.05,5
27b,3.51,30,0.97,30.79,5
27b,5.87,30,1.20,25.02,5
27b,3.21,30,0.97,30.97,5
27b,3.18,30,0.97,30.96,5
27b,3.35,30,0.97,30.87,5
27b,3.38,30,0.97,31.08,5
27b,5.05,30,1.17,25.56,5
27b,3.91,30,0.96,31.11,5
27b,4.01,30,0.97,30.96,5
27b,3.97,30,0.98,30.66,5
27b,3.87,30,0.97,30.93,5
27b,6.43,30,1.20,24.97,5
27b,3.55,30,0.97,30.97,5
27b,3.36,30,0.97,30.88,5
27b,3.34,30,0.97,30.93,5
27b,3.48,30,0.97,30.93,5
27b,5.19,30,1.17,25.63,5
27b,3.48,30,0.99,30.40,5
27b,3.91,30,1.01,29.85,5
27b,3.63,30,0.97,30.91,5
27b,4.09,30,0.98,30.75,5
27b,6.39,30,1.21,24.84,5
27b,3.50,30,0.97,30.93,5
27b,3.50,30,0.97,30.92,5
27b,3.33,30,0.97,31.01,5
27b,3.34,30,0.97,31.01,5
27b,5.02,30,1.17,25.71,5
27b,3.17,30,0.96,31.23,5
27b,3.87,30,0.99,30.26,5
27b,3.94,30,0.97,30.96,5
27b,3.49,30,0.97,30.77,5
27b,5.72,30,1.21,24.87,5
27b,3.44,30,0.97,30.98,5
27b,3.33,30,0.97,30.94,5
27b,3.55,30,0.97,31.04,5
27b,3.35,30,0.97,31.03,5
27b,5.36,30,1.20,25.02,5
27b,3.74,30,0.99,30.37,5
27b,3.34,30,0.97,31.00,5
27b,3.38,30,0.97,30.92,5
27b,3.14,30,0.97,31.07,5
27b,5.69,30,1.19,25.14,5
27b,3.22,30,0.97,30.97,5
27b,3.50,30,0.97,30.92,5
27b,3.49,30,0.97,30.96,5
27b,3.16,30,0.96,31.09,5
27b,5.78,30,1.20,24.91,5
27b,3.24,30,0.97,31.08,5
27b,3.35,30,0.97,30.92,5
27b,3.55,30,0.97,30.81,5
27b,3.50,30,0.97,30.99,5
27b,5.79,30,1.21,24.86,5
27b,3.46,30,0.97,31.05,5
27b,3.41,30,0.97,31.02,5
27b,3.34,30,0.97,30.93,5
27b,3.51,30,0.97,30.98,5
27b,5.72,30,1.21,24.89,5
27b,3.53,30,0.97,30.94,5
27b,3.89,30,0.98,30.70,5
27b,4.18,30,0.97,30.93,5
27b,3.42,30,0.97,30.81,5
27b,5.71,30,1.20,24.99,5
27b,3.24,30,0.97,31.07,5
27b,3.49,30,0.97,31.03,5
27b,3.35,30,0.97,31.06,5
27b,3.36,30,0.97,30.89,5
27b,5.56,30,1.21,24.82,5
27b,3.38,30,0.97,30.95,5
27b,3.35,30,0.97,30.92,5
27b,3.30,30,0.97,31.08,5
27b,3.31,30,0.97,30.95,5
27b,5.75,30,1.20,24.94,5
27b,3.51,30,0.97,30.96,5
27b,3.32,30,0.97,31.05,5
27b,3.31,30,0.97,31.03,5
27b,3.35,30,0.97,30.99,5
27b,5.51,30,1.21,24.85,5
27b,3.48,30,0.97,30.93,5
27b,3.56,30,0.97,30.93,5
27b,3.37,30,0.97,30.81,5
27b,3.59,30,0.97,30.89,5
27b,5.66,30,1.20,24.91,5
27b,3.20,30,0.97,31.07,5
27b,3.47,30,0.97,30.99,5
27b,3.62,30,0.97,30.96,5
27b,3.53,30,0.97,31.00,5
27b,5.64,30,1.20,25.03,5
27b,3.49,30,0.97,31.02,5
27b,3.41,30,0.97,31.05,5
27b,3.21,30,0.96,31.14,5
27b,3.38,30,0.97,30.91,5
27b,5.16,30,1.16,25.84,5
27b,3.82,30,0.99,30.35,5
27b,3.77,30,0.96,31.15,5
27b,3.72,30,0.97,31.00,5
27b,3.47,30,0.97,30.87,5
27b,5.17,30,1.17,25.69,5
27b,3.44,30,0.96,31.18,5
27b,3.36,30,0.96,31.21,5
27b,3.35,30,0.97,31.03,5
27b,3.56,30,0.97,30.87,5
