model_size,init_time,tokens,decode_time,speed,count
12b,1.78,30,0.67,45.07,15
12b,2.38,30,0.71,42.49,15
12b,2.92,30,0.87,34.62,15
12b,2.64,30,0.98,30.56,15
12b,3.47,30,1.11,27.12,15
12b,3.01,30,1.25,24.05,15
12b,3.25,30,0.97,31.05,15
12b,3.12,30,0.75,40.25,15
12b,3.22,30,0.72,41.82,15
12b,3.01,30,0.72,41.41,15
12b,2.97,30,0.79,37.81,15
12b,3.04,30,0.70,42.71,15
12b,1.72,30,0.67,44.96,15
12b,2.44,30,0.74,40.77,15
12b,2.74,30,0.84,35.68,15
12b,2.52,30,0.99,30.40,15
12b,3.37,30,1.09,27.41,15
12b,2.97,30,1.24,24.20,15
12b,3.16,30,1.20,25.03,15
12b,2.53,30,1.09,27.56,15
12b,3.49,30,0.70,42.68,15
12b,3.07,30,0.74,40.58,15
12b,3.09,30,0.75,40.19,15
12b,3.49,30,1.06,28.27,15
12b,3.06,30,1.01,29.69,15
12b,1.64,30,0.67,44.86,15
12b,2.43,30,0.73,41.12,15
12b,2.60,30,0.97,30.82,15
12b,2.33,30,1.00,29.88,15
12b,3.34,30,1.01,29.65,15
12b,2.94,30,1.13,26.50,15
12b,3.20,30,0.87,34.32,15
12b,2.93,30,0.74,40.36,15
12b,3.16,30,0.87,34.53,15
12b,3.39,30,0.96,31.16,15
12b,3.09,30,1.21,24.84,15
12b,3.01,30,1.14,26.40,15
12b,3.30,30,0.76,39.64,15
12b,1.64,30,0.66,45.17,15
12b,2.26,30,0.71,42.35,15
12b,2.73,30,0.89,33.54,15
12b,2.49,30,0.96,31.29,15
12b,3.12,30,1.20,25.01,15
12b,2.74,30,1.24,24.15,15
12b,2.85,30,1.02,29.37,15
12b,3.28,30,0.77,39.19,15
12b,3.27,30,0.78,38.31,15
12b,3.38,30,0.79,37.94,15
12b,3.21,30,0.81,37.00,15
12b,3.56,30,0.63,47.82,15
12b,2.13,30,0.81,37.13,15
12b,2.02,30,0.88,33.91,15
12b,3.00,30,1.01,29.78,15
12b,2.65,30,1.18,25.52,15
12b,2.90,30,1.00,30.08,15
12b,2.62,30,1.16,25.81,15
12b,3.52,30,0.74,40.61,15
12b,3.09,30,0.74,40.68,15
12b,2.84,30,0.72,41.39,15
12b,2.88,30,1.28,23.46,15
12b,3.54,30,1.41,21.27,15
12b,2.64,30,1.36,22.07,15
12b,1.72,30,0.68,44.18,15
12b,2.31,30,0.70,42.63,15
12b,2.62,30,0.84,35.56,15
12b,2.50,30,0.88,34.04,15
12b,3.34,30,1.02,29.40,15
12b,2.95,30,1.15,26.06,15
12b,3.33,30,1.31,22.88,15
12b,2.87,30,1.32,22.67,15
12b,3.06,30,1.05,28.68,15
12b,3.51,30,1.33,22.62,15
12b,3.15,30,1.66,18.10,15
12b,2.90,30,1.67,17.91,15
12b,2.50,30,1.61,18.67,15
12b,2.16,30,0.81,37.02,15
12b,1.99,30,0.90,33.44,15
12b,2.91,30,0.94,31.90,15
12b,2.59,30,1.02,29.29,15
12b,3.10,30,0.91,33.07,15
12b,2.96,30,0.93,32.35,15
12b,3.76,30,0.87,34.64,15
12b,3.09,30,1.19,25.23,15
12b,2.97,30,1.02,29.45,15
12b,3.60,30,1.05,28.54,15
12b,3.10,30,1.10,27.31,15
12b,3.12,30,0.62,48.50,15
12b,1.65,30,0.67,44.70,15
12b,2.27,30,0.71,42.10,15
12b,2.63,30,1.01,29.63,15
12b,2.46,30,0.98,30.60,15
12b,3.11,30,1.14,26.24,15
12b,2.69,30,1.20,24.96,15
12b,2.95,30,0.91,32.94,15
12b,3.19,30,0.72,41.74,15
12b,3.17,30,0.78,38.69,15
12b,3.32,30,0.84,35.64,15
12b,3.06,30,1.10,27.37,15
12b,3.07,30,0.88,34.11,15
12b,1.97,30,0.71,42.16,15
12b,2.26,30,0.70,42.93,15
12b,2.66,30,0.78,38.35,15
12b,3.27,30,1.19,25.18,15
12b,2.73,30,1.25,23.93,15
12b,3.11,30,1.34,22.35,15
12b,2.66,30,1.30,23.10,15
12b,3.24,30,0.76,39.67,15
12b,3.23,30,0.72,41.96,15
12b,3.46,30,1.19,25.13,15
12b,2.94,30,1.22,24.54,15
12b,3.25,30,1.19,25.23,15
12b,2.96,30,1.08,27.74,15
12b,2.15,30,0.80,37.38,15
12b,1.98,30,0.89,33.68,15
12b,2.78,30,0.83,35.98,15
12b,2.58,30,0.93,32.31,15
12b,2.93,30,0.77,39.15,15
12b,3.23,30,1.06,28.19,15
12b,2.80,30,1.12,26.79,15
12b,3.24,30,0.99,30.35,15
12b,3.15,30,1.08,27.80,15
12b,3.22,30,0.87,34.29,15
12b,3.07,30,0.68,44.39,15
12b,3.19,30,0.66,45.13,15
12b,2.16,30,0.79,38.21,15
12b,2.02,30,0.87,34.43,15
12b,2.86,30,0.81,37.06,15
12b,2.73,30,0.87,34.52,15
12b,3.02,30,0.95,31.74,15
12b,2.72,30,1.03,29.23,15
12b,3.36,30,0.72,41.75,15
12b,3.17,30,0.70,42.71,15
12b,3.31,30,0.76,39.70,15
12b,3.53,30,1.07,27.92,15
12b,3.07,30,1.16,25.89,15
12b,3.33,30,0.82,36.68,15
12b,2.13,30,0.71,42.06,15
12b,2.10,30,0.77,38.96,15
12b,3.01,30,1.00,29.93,15
12b,2.64,30,1.06,28.24,15
12b,2.72,30,1.21,24.83,15
12b,3.33,30,1.14,26.32,15
12b,3.34,30,0.72,41.55,15
12b,3.40,30,0.81,37.06,15
12b,3.31,30,0.83,36.35,15
12b,3.05,30,0.72,41.80,15
12b,2.79,30,1.03,29.24,15
12b,3.30,30,1.03,29.09,15
12b,1.65,30,0.67,44.80,15
