model_size,init_time,tokens,decode_time,speed,count
1b,0.79,30,0.50,60.44,15
1b,0.67,30,0.36,82.95,15
1b,0.66,30,0.37,82.09,15
1b,0.66,30,0.36,84.43,15
1b,0.67,30,0.36,83.57,15
1b,0.63,30,0.27,112.51,15
1b,0.75,30,0.35,84.85,15
1b,0.76,30,0.29,103.50,15
1b,0.61,30,0.27,112.03,15
1b,0.61,30,0.32,95.04,15
1b,0.61,30,0.33,92.13,15
1b,0.61,30,0.26,114.01,15
1b,0.61,30,0.26,113.24,15
1b,0.66,30,0.36,83.44,15
1b,0.62,30,0.26,116.53,15
1b,0.75,30,0.57,52.73,15
1b,0.65,30,0.34,87.93,15
1b,0.63,30,0.35,85.40,15
1b,0.65,30,0.35,86.18,15
1b,0.65,30,0.35,86.55,15
1b,0.63,30,0.26,115.48,15
1b,0.66,30,0.35,85.42,15
1b,0.64,30,0.34,88.48,15
1b,0.63,30,0.25,119.68,15
1b,0.65,30,0.35,86.63,15
1b,0.64,30,0.35,86.29,15
1b,0.63,30,0.25,118.77,15
1b,0.66,30,0.35,85.92,15
1b,0.64,30,0.35,86.56,15
1b,0.65,30,0.35,86.50,15
1b,0.78,30,0.55,54.45,15
1b,0.68,30,0.35,84.85,15
1b,0.67,30,0.36,82.98,15
1b,0.65,30,0.36,83.28,15
1b,0.66,30,0.35,86.55,15
1b,0.63,30,0.26,116.56,15
1b,0.66,30,0.26,113.40,15
1b,0.65,30,0.35,86.53,15
1b,0.63,30,0.26,113.81,15
1b,0.62,30,0.26,115.49,15
1b,0.66,30,0.35,86.79,15
1b,0.65,30,0.35,84.91,15
1b,0.63,30,0.26,115.09,15
1b,0.66,30,0.35,84.72,15
1b,0.67,30,0.36,83.50,15
1b,0.81,30,0.49,61.23,15
1b,0.63,30,0.26,117.61,15
1b,0.67,30,0.36,83.44,15
1b,0.67,30,0.36,84.33,15
1b,0.66,30,0.36,84.01,15
1b,0.68,30,0.36,83.15,15
1b,0.70,30,0.38,78.65,15
1b,0.63,30,0.26,115.75,15
1b,0.62,30,0.27,112.13,15
1b,0.61,30,0.32,94.51,15
1b,0.61,30,0.30,98.65,15
1b,0.61,30,0.31,96.63,15
1b,0.73,30,0.26,114.84,15
1b,0.65,30,0.35,86.65,15
1b,0.66,30,0.25,118.84,15
1b,0.80,30,0.46,64.97,15
1b,0.66,30,0.36,84.28,15
1b,0.67,30,0.36,82.70,15
1b,0.68,30,0.36,83.78,15
1b,0.68,30,0.35,84.74,15
1b,0.63,30,0.26,116.32,15
1b,0.67,30,0.35,84.88,15
1b,0.64,30,0.26,114.53,15
1b,0.61,30,0.26,114.79,15
1b,0.66,30,0.36,82.29,15
1b,0.63,30,0.26,114.38,15
1b,0.66,30,0.28,105.86,15
1b,0.65,30,0.35,85.46,15
1b,0.66,30,0.35,85.66,15
1b,0.63,30,0.26,113.42,15
1b,0.74,30,0.58,51.98,15
1b,0.65,30,0.35,85.76,15
1b,0.64,30,0.35,86.02,15
1b,0.65,30,0.35,84.94,15
1b,0.64,30,0.35,85.50,15
1b,0.64,30,0.26,113.89,15
1b,0.65,30,0.34,88.77,15
1b,0.64,30,0.34,87.82,15
1b,0.65,30,0.25,119.91,15
1b,0.64,30,0.36,84.30,15
1b,0.64,30,0.35,86.42,15
1b,0.64,30,0.25,119.45,15
1b,0.66,30,0.35,85.16,15
1b,0.63,30,0.24,124.02,15
1b,0.67,30,0.35,85.91,15
1b,0.79,30,0.55,54.22,15
1b,0.68,30,0.35,84.62,15
1b,0.66,30,0.35,85.83,15
1b,0.67,30,0.35,85.54,15
1b,0.67,30,0.36,82.99,15
1b,0.64,30,0.26,114.98,15
1b,0.67,30,0.35,85.45,15
1b,0.67,30,0.35,85.58,15
1b,0.62,30,0.26,116.44,15
1b,0.61,30,0.27,113.11,15
1b,0.64,30,0.35,86.73,15
1b,0.62,30,0.26,116.41,15
1b,0.66,30,0.35,86.16,15
1b,0.67,30,0.26,113.67,15
