model_size,init_time,tokens,decode_time,speed,count
12b,2.66,30,0.74,40.62,5
12b,2.07,30,0.57,52.96,5
12b,2.43,30,0.58,51.49,5
12b,1.63,30,0.54,56.05,5
12b,2.01,30,0.57,52.70,5
12b,2.51,30,0.74,40.49,5
12b,2.05,30,0.57,53.01,5
12b,2.31,30,0.70,43.07,5
12b,2.05,30,0.58,52.12,5
12b,1.85,30,0.56,53.81,5
12b,2.42,30,0.73,41.28,5
12b,2.11,30,0.61,49.15,5
12b,2.02,30,0.53,56.25,5
12b,1.93,30,0.53,56.47,5
12b,2.10,30,0.58,51.81,5
12b,3.01,30,0.74,40.81,5
12b,2.07,30,0.53,56.76,5
12b,2.10,30,0.53,56.47,5
12b,2.18,30,0.53,56.63,5
12b,1.74,30,0.53,56.45,5
12b,2.61,30,0.73,40.89,5
12b,2.12,30,0.55,54.24,5
12b,2.08,30,0.59,50.69,5
12b,2.17,30,0.55,54.42,5
12b,2.13,30,0.53,56.88,5
12b,2.56,30,0.73,40.91,5
12b,2.08,30,0.56,53.88,5
12b,2.16,30,0.53,56.86,5
12b,1.62,30,0.53,56.44,5
12b,2.12,30,0.59,50.68,5
12b,3.02,30,0.73,41.16,5
12b,2.04,30,0.53,56.51,5
12b,2.13,30,0.53,56.60,5
12b,2.12,30,0.53,56.76,5
12b,2.17,30,0.56,53.43,5
12b,2.56,30,0.74,40.51,5
12b,2.10,30,0.55,54.10,5
12b,2.17,30,0.70,42.57,5
12b,1.75,30,0.67,44.55,5
12b,2.12,30,0.60,50.25,5
12b,2.95,30,0.73,41.03,5
12b,2.09,30,0.56,53.85,5
12b,2.09,30,0.69,43.41,5
12b,2.06,30,0.53,56.72,5
12b,1.73,30,0.67,44.83,5
12b,2.55,30,0.73,41.35,5
12b,2.09,30,0.57,52.86,5
12b,2.07,30,0.53,56.25,5
12b,1.63,30,0.53,56.74,5
12b,1.62,30,0.53,56.21,5
12b,2.54,30,0.73,41.25,5
12b,2.06,30,0.56,53.53,5
12b,2.43,30,0.73,40.99,5
12b,1.71,30,0.54,55.09,5
12b,1.77,30,0.67,44.88,5
12b,2.87,30,0.84,35.78,5
12b,1.84,30,0.62,48.16,5
12b,1.75,30,0.60,49.79,5
12b,1.84,30,0.63,47.77,5
12b,1.76,30,0.60,50.13,5
12b,3.05,30,0.83,36.12,5
12b,1.82,30,0.61,49.32,5
12b,1.75,30,0.61,49.19,5
12b,1.74,30,0.60,49.64,5
12b,1.76,30,0.66,45.41,5
12b,2.83,30,0.84,35.77,5
12b,1.71,30,0.60,49.63,5
