model_size,init_time,tokens,decode_time,speed,count
1b,0.80,30,0.30,100.51,15
1b,0.79,30,0.27,109.21,15
1b,0.76,30,0.30,100.25,15
1b,0.87,30,0.32,94.41,15
1b,0.83,30,0.32,92.48,15
1b,0.85,30,0.33,91.33,15
1b,0.84,30,0.31,98.25,15
1b,0.83,30,0.32,93.56,15
1b,0.79,30,0.30,100.53,15
1b,0.81,30,0.30,99.12,15
1b,0.81,30,0.32,92.98,15
1b,0.80,30,0.30,99.54,15
1b,0.78,30,0.30,100.61,15
1b,0.83,30,0.32,93.67,15
1b,0.78,30,0.30,100.58,15
1b,0.79,30,0.27,109.62,15
1b,0.81,30,0.30,101.16,15
1b,0.81,30,0.32,92.70,15
1b,0.73,30,0.31,96.27,15
1b,0.80,30,0.29,102.13,15
1b,0.81,30,0.30,101.20,15
1b,0.77,30,0.27,111.38,15
1b,0.84,30,0.30,99.70,15
1b,0.85,30,0.27,110.08,15
1b,0.80,30,0.32,94.45,15
1b,0.80,30,0.30,100.95,15
1b,0.76,30,0.27,110.53,15
1b,0.80,30,0.32,92.57,15
1b,0.90,30,0.30,98.63,15
1b,0.73,30,0.27,109.19,15
1b,0.75,30,0.30,100.92,15
1b,0.78,30,0.27,110.61,15
1b,0.75,30,0.30,100.96,15
1b,0.73,30,0.30,101.04,15
1b,0.77,30,0.27,109.95,15
1b,0.73,30,0.30,98.81,15
1b,0.74,30,0.29,102.24,15
1b,0.81,30,0.32,93.07,15
1b,0.81,30,0.29,102.02,15
1b,0.78,30,0.30,99.65,15
1b,0.83,30,0.32,92.79,15
1b,0.79,30,0.30,101.41,15
1b,0.76,30,0.30,100.23,15
1b,0.74,30,0.27,109.82,15
1b,0.72,30,0.30,100.88,15
1b,0.73,30,0.27,111.05,15
1b,0.71,30,0.29,102.96,15
1b,0.78,30,0.27,109.51,15
1b,0.84,30,0.30,101.68,15
1b,0.85,30,0.35,86.32,15
1b,0.80,30,0.31,96.66,15
1b,0.76,30,0.27,110.16,15
1b,0.82,30,0.30,100.86,15
1b,0.77,30,0.27,110.31,15
1b,0.71,30,0.27,110.54,15
1b,0.74,30,0.30,100.84,15
1b,0.81,30,0.27,110.57,15
1b,0.73,30,0.27,111.06,15
1b,0.73,30,0.30,101.37,15
1b,0.86,30,0.31,95.92,15
1b,0.71,30,0.30,99.74,15
1b,0.69,30,0.27,109.87,15
1b,0.80,30,0.30,99.32,15
1b,0.79,30,0.30,99.25,15
1b,0.83,30,0.32,93.45,15
1b,0.79,30,0.30,99.20,15
1b,0.77,30,0.30,101.51,15
1b,0.77,30,0.28,108.94,15
1b,0.75,30,0.30,99.05,15
1b,0.76,30,0.30,100.62,15
1b,0.72,30,0.27,109.62,15
1b,0.72,30,0.30,100.52,15
1b,0.87,30,0.32,94.70,15
1b,0.73,30,0.27,111.49,15
1b,0.75,30,0.30,101.65,15
1b,0.71,30,0.30,100.78,15
1b,0.82,30,0.32,93.85,15
1b,0.79,30,0.30,99.09,15
1b,0.78,30,0.30,100.85,15
1b,0.83,30,0.32,92.81,15
1b,0.79,30,0.30,100.42,15
1b,0.76,30,0.30,100.87,15
1b,0.73,30,0.27,110.93,15
1b,0.72,30,0.30,99.19,15
1b,0.73,30,0.27,110.29,15
1b,0.81,30,0.30,101.09,15
1b,0.79,30,0.30,100.11,15
1b,0.78,30,0.27,110.99,15
1b,0.73,30,0.30,100.23,15
1b,0.73,30,0.30,98.81,15
1b,0.72,30,0.30,100.06,15
1b,0.79,30,0.32,92.68,15
1b,0.70,30,0.29,104.07,15
1b,0.77,30,0.30,100.28,15
1b,0.76,30,0.30,99.55,15
1b,0.81,30,0.32,92.63,15
1b,0.78,30,0.30,99.37,15
1b,0.83,30,0.32,92.93,15
1b,0.79,30,0.30,99.22,15
1b,0.76,30,0.30,100.41,15
1b,0.74,30,0.27,110.94,15
1b,0.79,30,0.30,100.18,15
1b,0.79,30,0.30,100.44,15
1b,0.82,30,0.32,92.84,15
1b,0.78,30,0.30,98.95,15
1b,0.72,30,0.30,99.59,15
1b,0.69,30,0.28,108.32,15
1b,0.82,30,0.31,98.07,15
1b,0.87,30,0.30,99.94,15
1b,0.76,30,0.31,98.12,15
1b,0.76,30,0.30,100.10,15
1b,0.75,30,0.30,99.65,15
1b,0.73,30,0.27,109.79,15
1b,0.71,30,0.30,99.02,15
1b,0.76,30,0.30,99.93,15
1b,0.76,30,0.27,110.04,15
1b,0.73,30,0.30,100.74,15
1b,0.83,30,0.30,98.91,15
1b,0.75,30,0.31,96.71,15
1b,0.81,30,0.27,111.99,15
1b,0.77,30,0.32,92.82,15
1b,0.76,30,0.30,99.87,15
1b,0.83,30,0.33,91.95,15
1b,0.81,30,0.30,100.24,15
1b,0.78,30,0.30,100.41,15
1b,0.76,30,0.27,109.16,15
1b,0.73,30,0.30,99.94,15
1b,0.76,30,0.30,100.48,15
1b,0.82,30,0.32,92.75,15
1b,0.79,30,0.30,99.89,15
1b,0.76,30,0.30,99.15,15
1b,0.75,30,0.27,109.26,15
1b,0.73,30,0.30,100.65,15
1b,0.89,30,0.31,97.16,15
1b,0.85,30,0.32,94.72,15
1b,0.73,30,0.30,100.42,15
1b,0.72,30,0.27,110.17,15
1b,0.71,30,0.30,99.29,15
1b,0.76,30,0.30,99.07,15
1b,0.73,30,0.27,110.28,15
1b,0.78,30,0.30,99.75,15
1b,0.77,30,0.31,97.98,15
1b,0.76,30,0.30,98.82,15
