model_size,init_time,tokens,decode_time,speed,count
4b,1.08,30,0.37,81.03,10
4b,1.19,30,0.38,78.06,10
4b,1.11,30,0.38,79.07,10
4b,1.23,30,0.37,80.34,10
4b,1.11,30,0.38,78.00,10
4b,1.19,30,0.38,78.15,10
4b,1.25,30,0.38,79.23,10
4b,1.30,30,0.38,78.78,10
4b,1.15,30,0.38,78.16,10
4b,1.22,30,0.37,81.80,10
4b,0.98,30,0.39,77.84,10
4b,1.18,30,0.38,78.49,10
4b,1.23,30,0.37,80.55,10
4b,1.12,30,0.38,79.07,10
4b,1.18,30,0.38,79.83,10
4b,1.12,30,0.42,71.83,10
4b,1.20,30,0.37,80.00,10
4b,1.09,30,0.39,76.08,10
4b,1.15,30,0.37,80.81,10
4b,1.30,30,0.37,80.23,10
4b,0.99,30,0.40,75.00,10
4b,1.19,30,0.41,74.04,10
4b,1.13,30,0.41,73.23,10
4b,1.11,30,0.40,74.55,10
4b,1.19,30,0.38,79.83,10
4b,1.27,30,0.38,79.49,10
4b,1.17,30,0.39,77.11,10
4b,1.13,30,0.40,75.43,10
4b,1.26,30,0.38,78.60,10
4b,1.07,30,0.38,78.84,10
4b,0.97,30,0.40,75.23,10
4b,1.05,30,0.38,79.88,10
4b,1.20,30,0.37,80.15,10
4b,1.01,30,0.39,76.45,10
4b,1.13,30,0.37,80.01,10
4b,1.21,30,0.38,79.70,10
4b,1.24,30,0.37,80.12,10
4b,1.13,30,0.38,79.07,10
4b,1.17,30,0.38,78.24,10
4b,1.11,30,0.39,76.33,10
4b,0.98,30,0.38,78.29,10
4b,1.18,30,0.42,70.93,10
4b,1.18,30,0.40,75.05,10
4b,1.27,30,0.43,69.24,10
4b,1.12,30,0.40,74.79,10
4b,1.30,30,0.42,70.99,10
4b,1.29,30,0.40,75.21,10
4b,1.22,30,0.41,73.61,10
4b,1.29,30,0.42,72.01,10
4b,1.13,30,0.39,77.38,10
4b,1.10,30,0.38,79.91,10
4b,1.16,30,0.39,76.74,10
4b,1.08,30,0.39,76.65,10
4b,1.18,30,0.38,79.60,10
4b,1.10,30,0.39,76.98,10
4b,1.18,30,0.38,79.79,10
4b,1.26,30,0.38,78.62,10
4b,1.29,30,0.38,78.92,10
4b,1.23,30,0.44,67.52,10
4b,1.35,30,0.37,81.61,10
4b,1.11,30,0.38,79.36,10
4b,1.04,30,0.45,66.95,10
4b,1.16,30,0.38,79.55,10
4b,1.20,30,0.38,77.99,10
4b,1.13,30,0.41,73.99,10
4b,1.20,30,0.38,78.25,10
4b,1.14,30,0.41,73.27,10
4b,1.11,30,0.40,74.34,10
4b,1.17,30,0.38,79.77,10
4b,1.11,30,0.39,76.41,10
4b,1.12,30,0.42,71.73,10
4b,1.06,30,0.39,76.25,10
4b,1.18,30,0.38,79.88,10
4b,1.08,30,0.39,77.53,10
4b,1.24,30,0.38,79.49,10
4b,1.17,30,0.41,73.54,10
4b,1.18,30,0.42,71.88,10
4b,1.12,30,0.38,78.53,10
4b,1.16,30,0.38,78.14,10
4b,1.08,30,0.40,74.35,10
4b,0.93,30,0.38,79.66,10
4b,1.09,30,0.39,77.47,10
4b,1.16,30,0.39,77.22,10
4b,0.99,30,0.41,73.42,10
4b,1.22,30,0.38,79.97,10
4b,1.21,30,0.41,72.60,10
4b,1.14,30,0.39,77.37,10
4b,1.19,30,0.37,80.07,10
4b,1.14,30,0.41,73.67,10
4b,1.30,30,0.37,81.64,10
4b,0.97,30,0.39,76.91,10
4b,1.08,30,0.38,78.35,10
4b,1.19,30,0.37,80.86,10
4b,1.08,30,0.40,75.60,10
4b,1.25,30,0.38,79.14,10
4b,1.29,30,0.38,78.69,10
4b,1.27,30,0.45,66.87,10
4b,1.25,30,0.42,71.69,10
4b,1.15,30,0.38,78.34,10
4b,1.19,30,0.37,82.15,10
4b,0.99,30,0.39,77.41,10
4b,1.13,30,0.38,78.44,10
4b,1.19,30,0.38,79.77,10
4b,1.12,30,0.40,75.85,10
4b,1.20,30,0.37,80.78,10
4b,1.12,30,0.40,74.46,10
4b,1.25,30,0.38,79.64,10
4b,1.10,30,0.39,77.12,10
4b,1.26,30,0.37,81.09,10
4b,1.09,30,0.37,80.76,10
4b,1.10,30,0.38,79.16,10
4b,1.08,30,0.42,71.30,10
4b,1.25,30,0.43,70.33,10
4b,1.34,30,0.42,70.99,10
4b,1.25,30,0.38,78.66,10
4b,1.17,30,0.38,78.10,10
4b,1.28,30,0.42,70.72,10
4b,1.27,30,0.44,68.01,10
4b,1.17,30,0.39,77.92,10
4b,1.23,30,0.37,81.14,10
4b,1.05,30,0.38,79.78,10
4b,1.13,30,0.39,77.63,10
4b,1.18,30,0.38,79.64,10
4b,1.29,30,0.39,77.12,10
4b,1.13,30,0.39,76.03,10
4b,1.25,30,0.38,78.60,10
4b,1.15,30,0.38,79.40,10
4b,1.27,30,0.38,79.54,10
4b,1.31,30,0.42,71.81,10
4b,1.15,30,0.39,76.29,10
4b,1.11,30,0.37,80.78,10
4b,1.22,30,0.41,73.71,10
4b,1.29,30,0.38,78.30,10
4b,1.33,30,0.38,78.16,10
4b,1.16,30,0.39,77.14,10
4b,1.23,30,0.38,78.61,10
4b,1.27,30,0.38,79.70,10
4b,1.24,30,0.45,66.46,10
4b,1.36,30,0.38,78.57,10
4b,1.14,30,0.39,77.44,10
4b,0.97,30,0.39,76.21,10
4b,1.09,30,0.39,77.42,10
4b,1.20,30,0.37,80.31,10
4b,1.23,30,0.38,79.30,10
4b,1.13,30,0.37,80.07,10
4b,1.20,30,0.39,77.46,10
4b,1.15,30,0.39,76.29,10
4b,1.22,30,0.38,79.86,10
4b,1.10,30,0.38,78.59,10
4b,1.14,30,0.36,82.46,10
4b,0.93,30,0.38,79.59,10
4b,1.09,30,0.37,80.01,10
4b,1.21,30,0.38,78.16,10
4b,1.00,30,0.41,74.02,10
4b,1.16,30,0.37,80.32,10
4b,1.25,30,0.38,79.15,10
4b,1.20,30,0.44,67.70,10
4b,1.31,30,0.38,79.96,10
4b,1.11,30,0.39,76.65,10
4b,1.18,30,0.37,81.98,10
4b,0.93,30,0.38,79.31,10
4b,1.11,30,0.39,77.56,10
4b,1.17,30,0.38,79.21,10
4b,1.23,30,0.38,78.44,10
4b,1.14,30,0.39,77.90,10
4b,1.19,30,0.38,78.78,10
4b,1.15,30,0.39,76.26,10
4b,1.22,30,0.38,78.15,10
4b,1.09,30,0.38,78.44,10
4b,1.17,30,0.37,80.95,10
4b,1.12,30,0.38,79.25,10
4b,1.09,30,0.43,69.23,10
4b,1.21,30,0.37,80.85,10
4b,1.24,30,0.37,80.51,10
4b,1.09,30,0.40,74.09,10
4b,1.26,30,0.42,70.64,10
4b,1.30,30,0.46,65.31,10
4b,1.19,30,0.39,76.75,10
4b,1.23,30,0.43,70.42,10
4b,1.12,30,0.38,79.01,10
4b,0.92,30,0.38,79.87,10
4b,1.15,30,0.38,78.66,10
4b,1.11,30,0.46,65.46,10
4b,1.03,30,0.41,73.64,10
4b,1.20,30,0.38,78.61,10
4b,1.06,30,0.39,76.24,10
4b,1.25,30,0.40,74.85,10
4b,1.06,30,0.40,74.72,10
4b,1.27,30,0.38,79.69,10
4b,1.05,30,0.38,78.96,10
4b,1.13,30,0.39,76.75,10
4b,1.02,30,0.42,71.72,10
4b,1.13,30,0.38,78.77,10
4b,1.18,30,0.39,77.85,10
4b,1.10,30,0.42,71.88,10
4b,1.19,30,0.37,80.96,10
4b,1.10,30,0.40,74.13,10
4b,1.30,30,0.38,78.51,10
4b,1.12,30,0.40,75.39,10
4b,1.19,30,0.37,82.01,10
4b,0.92,30,0.38,79.31,10
4b,1.08,30,0.39,77.91,10
4b,1.13,30,0.39,76.39,10
4b,1.08,30,0.43,70.49,10
4b,1.21,30,0.37,80.93,10
4b,1.26,30,0.37,80.23,10
4b,1.19,30,0.42,72.14,10
4b,1.17,30,0.41,73.47,10
4b,1.12,30,0.40,74.49,10
4b,1.24,30,0.37,81.16,10
4b,1.12,30,0.37,80.21,10
4b,1.06,30,0.41,72.94,10
4b,1.16,30,0.38,79.10,10
4b,1.27,30,0.38,79.39,10
4b,1.30,30,0.38,78.88,10
4b,1.13,30,0.38,78.84,10
4b,1.25,30,0.39,77.74,10
4b,1.08,30,0.40,75.01,10
4b,1.19,30,0.39,77.91,10
4b,1.24,30,0.37,81.44,10
4b,1.10,30,0.37,80.17,10
4b,1.21,30,0.43,68.98,10
4b,1.31,30,0.38,78.80,10
4b,1.16,30,0.39,77.28,10
4b,1.27,30,0.38,79.29,10
4b,1.14,30,0.39,76.15,10
4b,1.21,30,0.38,79.77,10
4b,1.18,30,0.40,75.30,10
4b,1.12,30,0.40,74.17,10
4b,1.25,30,0.37,81.14,10
4b,0.97,30,0.39,76.13,10
4b,1.20,30,0.41,73.73,10
4b,1.15,30,0.40,74.17,10
4b,1.11,30,0.41,72.46,10
4b,1.25,30,0.38,79.90,10
4b,1.11,30,0.39,76.07,10
4b,1.25,30,0.38,79.20,10
4b,1.30,30,0.39,77.90,10
4b,1.33,30,0.42,71.46,10
4b,1.16,30,0.38,78.53,10
4b,1.05,30,0.38,78.04,10
4b,1.18,30,0.38,79.42,10
4b,1.13,30,0.38,79.21,10
4b,1.25,30,0.38,78.53,10
4b,1.02,30,0.41,72.41,10
4b,1.25,30,0.38,79.03,10
4b,1.14,30,0.38,78.37,10
4b,1.20,30,0.39,77.78,10
4b,1.11,30,0.38,78.79,10
4b,1.16,30,0.37,81.49,10
4b,0.98,30,0.38,78.85,10
4b,1.15,30,0.38,79.58,10
4b,1.23,30,0.39,77.18,10
4b,1.00,30,0.41,73.09,10
4b,1.17,30,0.38,79.67,10
4b,1.22,30,0.38,78.79,10
4b,1.10,30,0.39,76.02,10
4b,1.17,30,0.38,78.74,10
4b,1.21,30,0.38,79.16,10
4b,1.32,30,0.37,81.02,10
4b,1.12,30,0.41,72.63,10
4b,1.03,30,0.41,72.39,10
4b,1.13,30,0.38,79.33,10
4b,1.23,30,0.38,79.00,10
4b,1.10,30,0.39,76.12,10
4b,1.25,30,0.38,79.43,10
4b,1.14,30,0.38,78.18,10
4b,1.27,30,0.38,79.46,10
4b,1.14,30,0.38,77.99,10
4b,1.20,30,0.37,81.72,10
4b,0.97,30,0.38,79.26,10
4b,1.09,30,0.37,80.51,10
4b,1.14,30,0.38,79.94,10
4b,1.22,30,0.42,71.47,10
4b,1.13,30,0.40,75.89,10
4b,1.20,30,0.37,80.17,10
4b,1.29,30,0.40,74.85,10
4b,1.23,30,0.39,76.02,10
4b,1.14,30,0.38,78.10,10
4b,1.18,30,0.36,82.35,10
4b,0.97,30,0.38,79.18,10
4b,1.18,30,0.38,78.04,10
4b,1.08,30,0.38,78.18,10
4b,1.22,30,0.41,73.73,10
4b,1.10,30,0.39,76.17,10
4b,1.18,30,0.38,79.24,10
4b,1.25,30,0.38,79.34,10
4b,1.11,30,0.39,76.96,10
4b,1.16,30,0.37,80.73,10
4b,1.17,30,0.37,81.10,10
4b,1.00,30,0.41,73.41,10
4b,1.12,30,0.39,76.82,10
4b,1.09,30,0.42,71.21,10
4b,1.19,30,0.38,79.65,10
4b,1.13,30,0.40,74.84,10
4b,1.21,30,0.38,78.68,10
4b,1.15,30,0.40,74.24,10
4b,1.11,30,0.39,76.20,10
4b,1.25,30,0.38,78.98,10
4b,1.05,30,0.39,77.26,10
4b,0.98,30,0.39,77.58,10
4b,1.09,30,0.38,79.42,10
4b,1.18,30,0.38,79.45,10
4b,1.23,30,0.38,78.41,10
4b,1.28,30,0.38,79.17,10
4b,1.12,30,0.39,76.46,10
4b,1.23,30,0.38,79.19,10
4b,1.13,30,0.38,78.86,10
4b,1.17,30,0.37,80.79,10
4b,1.11,30,0.39,77.21,10
