model_size,init_time,tokens,decode_time,speed,count
12b,1.97,30,0.69,43.67,5
12b,2.47,30,0.76,39.40,5
12b,2.42,30,0.77,38.80,5
12b,3.04,30,0.85,35.40,5
12b,2.74,30,0.89,33.67,5
12b,1.85,30,1.26,23.81,5
12b,2.36,30,1.35,22.24,5
12b,1.89,30,1.11,27.03,5
12b,2.93,30,0.76,39.72,5
12b,2.74,30,0.81,37.16,5
12b,1.91,30,0.69,43.79,5
12b,2.59,30,1.03,29.04,5
12b,2.23,30,1.06,28.21,5
12b,2.56,30,0.74,40.60,5
12b,2.87,30,0.65,46.25,5
12b,1.90,30,0.67,44.52,5
12b,2.18,30,0.69,43.53,5
12b,2.54,30,0.82,36.42,5
12b,2.39,30,0.84,35.74,5
12b,2.71,30,0.63,47.44,5
12b,1.91,30,0.67,44.87,5
12b,2.16,30,0.67,44.67,5
12b,2.40,30,0.67,44.59,5
12b,2.96,30,0.79,37.83,5
12b,2.73,30,0.82,36.44,5
12b,1.90,30,0.68,44.33,5
12b,2.48,30,0.71,42.43,5
12b,2.47,30,0.73,41.29,5
12b,2.73,30,0.65,46.15,5
12b,2.73,30,0.66,45.34,5
12b,1.90,30,0.67,44.76,5
12b,2.16,30,0.68,43.88,5
12b,2.65,30,0.68,44.07,5
12b,2.69,30,0.74,40.81,5
12b,2.64,30,0.72,41.52,5
12b,1.90,30,0.68,44.18,5
12b,2.37,30,0.69,43.79,5
12b,2.45,30,0.69,43.50,5
12b,2.51,30,0.66,45.16,5
12b,2.74,30,0.62,48.33,5
12b,1.63,30,0.67,44.83,5
12b,2.21,30,0.67,44.89,5
12b,2.69,30,0.88,34.22,5
12b,2.39,30,0.92,32.55,5
12b,3.02,30,0.61,49.00,5
12b,1.89,30,0.68,44.39,5
12b,2.54,30,0.75,39.77,5
12b,2.47,30,0.78,38.28,5
12b,2.66,30,0.67,44.48,5
12b,2.67,30,0.67,44.85,5
12b,1.90,30,0.66,45.25,5
12b,2.17,30,0.68,43.96,5
12b,2.62,30,0.66,45.15,5
12b,2.79,30,0.76,39.43,5
12b,2.63,30,0.79,38.10,5
12b,1.91,30,0.66,45.45,5
12b,2.15,30,0.68,43.95,5
12b,2.68,30,0.66,45.19,5
12b,2.82,30,0.90,33.21,5
12b,2.49,30,0.95,31.43,5
12b,1.89,30,0.67,44.86,5
12b,2.16,30,0.69,43.71,5
12b,2.70,30,0.79,38.02,5
12b,2.58,30,0.96,31.12,5
12b,2.49,30,0.86,34.71,5
12b,1.89,30,0.67,44.64,5
12b,2.20,30,0.74,40.74,5
12b,2.42,30,0.67,44.79,5
12b,2.62,30,0.74,40.61,5
12b,2.49,30,0.76,39.73,5
12b,1.90,30,0.68,44.36,5
12b,2.54,30,0.83,36.19,5
12b,2.39,30,0.84,35.72,5
12b,2.76,30,0.84,35.65,5
12b,2.48,30,0.87,34.36,5
12b,1.91,30,0.68,43.91,5
12b,2.22,30,0.86,34.83,5
12b,2.18,30,0.80,37.47,5
12b,2.64,30,0.68,44.42,5
12b,2.79,30,0.63,47.69,5
12b,1.89,30,0.69,43.78,5
12b,2.19,30,0.72,41.71,5
12b,2.35,30,0.68,44.37,5
12b,2.50,30,0.65,46.02,5
12b,2.94,30,0.62,48.45,5
12b,1.88,30,0.68,44.08,5
12b,2.54,30,0.88,34.09,5
12b,2.30,30,0.91,33.02,5
12b,2.70,30,0.65,46.40,5
12b,2.75,30,0.64,46.69,5
12b,1.87,30,0.67,44.69,5
12b,2.32,30,0.72,41.88,5
12b,2.31,30,0.73,40.97,5
12b,2.87,30,0.83,35.96,5
12b,2.60,30,0.88,34.10,5
12b,1.88,30,0.67,44.99,5
12b,2.49,30,0.74,40.74,5
12b,2.45,30,0.76,39.56,5
12b,2.67,30,0.66,45.77,5
12b,2.76,30,0.64,47.10,5
12b,1.90,30,0.68,44.32,5
12b,2.57,30,0.89,33.57,5
12b,2.37,30,0.90,33.20,5
12b,2.61,30,0.75,39.90,5
12b,2.65,30,0.70,43.02,5
12b,1.88,30,0.67,44.52,5
12b,2.58,30,0.97,31.06,5
12b,2.30,30,0.96,31.33,5
12b,2.96,30,1.00,30.02,5
12b,2.65,30,0.96,31.41,5
12b,1.88,30,0.66,45.12,5
12b,2.30,30,0.67,44.49,5
12b,2.49,30,0.66,45.20,5
12b,2.94,30,0.85,35.43,5
12b,2.66,30,0.88,34.02,5
12b,1.87,30,0.69,43.21,5
12b,2.23,30,0.76,39.57,5
12b,2.37,30,0.68,43.83,5
12b,2.66,30,0.70,42.75,5
12b,2.70,30,0.67,44.72,5
12b,2.13,30,0.80,37.69,5
12b,2.01,30,0.83,36.31,5
12b,2.77,30,0.98,30.49,5
12b,2.37,30,1.13,26.59,5
12b,2.53,30,0.84,35.89,5
12b,2.10,30,0.71,42.21,5
12b,2.14,30,0.72,41.55,5
12b,2.75,30,0.90,33.29,5
12b,2.52,30,0.89,33.87,5
12b,2.75,30,0.72,41.70,5
12b,1.64,30,0.68,44.41,5
12b,2.22,30,0.70,43.14,5
12b,2.32,30,0.69,43.30,5
12b,2.57,30,0.64,46.77,5
12b,2.77,30,0.62,48.76,5
12b,1.90,30,0.67,44.90,5
12b,2.15,30,0.67,44.49,5
12b,2.50,30,0.70,42.99,5
12b,2.80,30,0.74,40.39,5
12b,2.73,30,0.74,40.58,5
12b,1.91,30,0.68,44.16,5
12b,2.18,30,0.68,43.81,5
12b,2.54,30,0.70,42.76,5
12b,2.67,30,0.70,42.73,5
12b,2.64,30,0.70,42.83,5
12b,1.90,30,0.68,44.29,5
12b,2.20,30,0.73,41.31,5
12b,2.41,30,0.66,45.20,5
12b,2.65,30,0.64,46.95,5
12b,2.68,30,0.64,46.60,5
12b,1.90,30,0.68,44.16,5
12b,2.11,30,1.21,24.82,5
12b,2.61,30,1.23,24.34,5
12b,2.29,30,0.94,31.85,5
12b,2.83,30,0.65,46.49,5
