model_size,init_time,tokens,decode_time,speed,count
1b,0.71,30,0.30,101.10,5
1b,0.81,30,0.32,92.35,5
1b,0.88,30,0.36,83.38,5
1b,0.76,30,0.29,101.88,5
1b,0.84,30,0.32,95.24,5
1b,0.70,30,0.29,103.39,5
1b,0.80,30,0.32,94.08,5
1b,0.86,30,0.30,98.75,5
1b,0.83,30,0.29,101.92,5
1b,0.73,30,0.31,97.46,5
1b,0.70,30,0.30,101.47,5
1b,0.67,30,0.28,108.49,5
1b,0.86,30,0.35,84.80,5
1b,0.88,30,0.29,103.07,5
1b,0.85,30,0.32,93.70,5
1b,0.74,30,0.30,101.44,5
1b,0.72,30,0.27,109.35,5
1b,0.88,30,0.35,85.08,5
1b,0.78,30,0.31,96.91,5
1b,0.73,30,0.27,110.93,5
1b,0.70,30,0.29,103.20,5
1b,0.77,30,0.27,111.69,5
1b,0.88,30,0.31,96.76,5
1b,0.88,30,0.29,104.96,5
1b,0.74,30,0.30,101.59,5
1b,0.70,30,0.29,104.53,5
1b,0.72,30,0.27,109.86,5
1b,0.87,30,0.32,94.31,5
1b,0.89,30,0.30,99.85,5
1b,0.85,30,0.32,94.27,5
1b,0.70,30,0.29,101.71,5
1b,0.83,30,0.33,92.28,5
1b,0.86,30,0.30,99.40,5
1b,0.78,30,0.32,94.84,5
1b,0.75,30,0.28,108.81,5
1b,0.68,30,0.29,105.01,5
1b,0.79,30,0.27,110.16,5
1b,0.80,30,0.30,99.40,5
1b,0.76,30,0.27,109.41,5
1b,0.72,30,0.27,110.68,5
1b,0.78,30,0.31,98.06,5
1b,0.80,30,0.30,100.97,5
1b,0.77,30,0.28,108.81,5
1b,0.85,30,0.32,93.12,5
1b,0.84,30,0.32,92.92,5
1b,0.70,30,0.29,105.07,5
1b,0.82,30,0.32,92.95,5
1b,0.81,30,0.30,98.40,5
1b,0.77,30,0.27,109.24,5
1b,0.73,30,0.27,110.58,5
1b,0.68,30,0.28,108.40,5
1b,0.67,30,0.27,109.40,5
1b,0.86,30,0.28,105.48,5
1b,0.84,30,0.32,93.62,5
1b,0.74,30,0.31,95.99,5
1b,0.68,30,0.27,109.90,5
1b,0.68,30,0.30,100.56,5
1b,0.84,30,0.28,108.41,5
1b,0.78,30,0.28,107.91,5
1b,0.73,30,0.28,107.42,5
1b,0.69,30,0.28,106.60,5
1b,0.67,30,0.27,109.27,5
1b,0.78,30,0.30,98.67,5
1b,0.77,30,0.27,109.73,5
1b,0.71,30,0.27,110.67,5
1b,0.69,30,0.28,107.48,5
1b,0.68,30,0.28,108.87,5
1b,0.87,30,0.33,90.67,5
1b,0.79,30,0.28,105.73,5
1b,0.85,30,0.29,102.69,5
1b,0.70,30,0.28,107.64,5
1b,0.81,30,0.32,94.06,5
1b,0.80,30,0.27,110.98,5
1b,0.74,30,0.30,99.54,5
1b,0.79,30,0.28,107.50,5
1b,0.70,30,0.28,107.94,5
1b,0.81,30,0.29,103.75,5
1b,0.76,30,0.30,99.74,5
1b,0.75,30,0.27,109.30,5
1b,0.82,30,0.32,93.32,5
1b,0.70,30,0.30,101.49,5
1b,0.77,30,0.28,107.26,5
1b,0.87,30,0.33,92.16,5
1b,0.86,30,0.35,86.95,5
1b,0.85,30,0.28,108.49,5
1b,0.69,30,0.28,107.16,5
1b,0.67,30,0.28,108.61,5
1b,0.86,30,0.30,99.79,5
1b,0.82,30,0.28,107.60,5
1b,0.76,30,0.27,111.56,5
1b,0.68,30,0.28,106.54,5
1b,0.67,30,0.27,109.19,5
1b,0.86,30,0.31,98.13,5
1b,0.79,30,0.36,82.45,5
1b,0.75,30,0.32,94.63,5
1b,0.80,30,0.32,94.07,5
1b,0.68,30,0.30,99.90,5
1b,0.79,30,0.27,109.68,5
1b,0.75,30,0.27,109.91,5
1b,0.76,30,0.27,110.13,5
1b,0.78,30,0.32,93.66,5
1b,0.78,30,0.28,107.40,5
1b,0.85,30,0.32,93.58,5
1b,0.75,30,0.31,96.39,5
1b,0.79,30,0.28,106.50,5
1b,0.68,30,0.28,106.27,5
1b,0.68,30,0.27,110.14,5
1b,0.86,30,0.34,88.49,5
1b,0.79,30,0.29,102.73,5
1b,0.73,30,0.27,110.61,5
1b,0.72,30,0.27,110.33,5
1b,0.76,30,0.28,108.23,5
1b,0.87,30,0.30,99.91,5
1b,0.69,30,0.28,108.58,5
1b,0.85,30,0.31,96.94,5
1b,0.69,30,0.28,107.88,5
1b,0.68,30,0.27,109.31,5
1b,0.75,30,0.27,110.41,5
1b,0.82,30,0.28,107.79,5
1b,0.74,30,0.27,109.58,5
1b,0.79,30,0.28,106.11,5
1b,0.79,30,0.32,93.43,5
1b,0.82,30,0.30,98.93,5
1b,0.78,30,0.28,107.89,5
1b,0.76,30,0.27,111.04,5
1b,0.68,30,0.28,107.62,5
1b,0.67,30,0.27,110.70,5
1b,0.84,30,0.30,99.73,5
1b,0.80,30,0.27,109.17,5
1b,0.74,30,0.27,109.84,5
1b,0.68,30,0.27,110.57,5
1b,0.80,30,0.28,106.99,5
1b,0.87,30,0.32,92.48,5
1b,0.74,30,0.29,102.93,5
1b,0.86,30,0.32,92.65,5
1b,0.68,30,0.28,105.83,5
1b,0.67,30,0.27,109.33,5
1b,0.80,30,0.30,101.24,5
1b,0.77,30,0.28,108.81,5
1b,0.71,30,0.27,109.98,5
1b,0.73,30,0.28,105.29,5
1b,0.70,30,0.28,108.44,5
1b,0.86,30,0.30,99.54,5
1b,0.81,30,0.28,106.11,5
1b,0.75,30,0.27,110.00,5
1b,0.70,30,0.28,105.75,5
1b,0.71,30,0.27,111.29,5
1b,0.85,30,0.32,93.63,5
1b,0.84,30,0.28,107.64,5
1b,0.76,30,0.27,110.74,5
1b,0.68,30,0.28,106.89,5
1b,0.68,30,0.27,109.51,5
1b,0.77,30,0.28,106.04,5
1b,0.85,30,0.32,92.61,5
1b,0.71,30,0.28,107.37,5
