model_size,init_time,tokens,decode_time,speed,count
12b,1.63,30,0.68,44.13,10
12b,2.26,30,0.68,43.97,10
12b,2.51,30,0.76,39.33,10
12b,2.51,30,0.78,38.63,10
12b,3.26,30,1.03,29.05,10
12b,2.90,30,1.35,22.18,10
12b,3.07,30,1.50,20.05,10
12b,2.66,30,1.46,20.62,10
12b,2.86,30,1.07,28.00,10
12b,2.14,30,0.88,34.05,10
12b,1.93,30,0.90,33.26,10
12b,2.92,30,0.99,30.44,10
12b,2.58,30,1.03,29.08,10
12b,3.18,30,1.12,26.74,10
12b,2.73,30,1.13,26.49,10
12b,3.13,30,0.76,39.39,10
12b,3.32,30,0.89,33.72,10
12b,2.97,30,0.93,32.14,10
12b,2.12,30,0.91,32.80,10
12b,1.88,30,0.94,32.07,10
12b,2.38,30,0.68,43.83,10
12b,3.01,30,1.10,27.21,10
12b,2.71,30,1.25,23.98,10
12b,2.58,30,1.13,26.64,10
12b,3.06,30,1.01,29.57,10
12b,3.57,30,1.02,29.47,10
12b,1.63,30,0.67,44.56,10
12b,2.29,30,0.68,43.93,10
12b,2.54,30,0.73,41.05,10
12b,2.60,30,0.77,38.91,10
12b,2.83,30,1.22,24.49,10
12b,3.44,30,1.44,20.80,10
12b,3.01,30,1.51,19.85,10
12b,2.51,30,1.53,19.59,10
12b,3.17,30,0.81,37.08,10
12b,2.30,30,1.13,26.59,10
12b,1.80,30,1.14,26.26,10
12b,2.44,30,0.80,37.36,10
12b,2.75,30,0.70,42.64,10
12b,2.98,30,0.69,43.43,10
12b,3.09,30,0.70,42.76,10
12b,3.17,30,0.69,43.63,10
12b,3.34,30,0.65,46.49,10
12b,3.03,30,0.62,48.09,10
12b,1.65,30,0.67,44.86,10
12b,1.74,30,0.70,43.16,10
12b,2.57,30,0.72,41.74,10
12b,2.69,30,0.75,40.26,10
12b,2.67,30,0.78,38.22,10
12b,2.85,30,0.70,42.62,10
12b,3.06,30,0.67,44.61,10
12b,3.03,30,0.67,44.81,10
12b,3.00,30,0.69,43.58,10
12b,1.65,30,0.67,44.78,10
12b,2.27,30,0.69,43.60,10
12b,2.61,30,0.85,35.44,10
12b,2.51,30,0.88,34.16,10
12b,3.23,30,1.06,28.25,10
12b,2.84,30,1.17,25.58,10
12b,3.06,30,0.86,34.74,10
12b,2.95,30,0.65,46.41,10
12b,3.36,30,0.61,48.91,10
12b,2.10,30,0.86,34.91,10
12b,1.93,30,0.89,33.87,10
12b,2.51,30,1.08,27.80,10
12b,3.06,30,1.24,24.16,10
12b,2.84,30,1.19,25.23,10
12b,2.64,30,1.04,28.78,10
12b,3.55,30,0.69,43.63,10
12b,2.51,30,0.70,42.78,10
12b,1.63,30,0.67,44.79,10
12b,2.33,30,0.68,43.85,10
12b,2.60,30,0.86,34.72,10
12b,2.49,30,0.87,34.60,10
12b,3.37,30,1.21,24.75,10
12b,2.91,30,1.28,23.46,10
12b,2.99,30,1.17,25.74,10
12b,2.67,30,0.87,34.38,10
12b,3.54,30,0.66,45.26,10
12b,1.63,30,0.67,44.48,10
12b,2.29,30,0.74,40.32,10
12b,2.25,30,0.79,37.85,10
12b,2.81,30,0.76,39.27,10
12b,2.77,30,0.78,38.35,10
12b,3.22,30,1.37,21.90,10
12b,2.70,30,1.39,21.58,10
12b,2.73,30,1.16,25.97,10
12b,3.24,30,0.62,48.29,10
12b,1.79,30,0.67,44.49,10
12b,2.32,30,0.68,44.23,10
12b,2.88,30,1.06,28.36,10
