model_size,init_time,tokens,decode_time,speed,count
27b,3.98,30,2.05,14.60,10
27b,4.47,30,2.07,14.52,10
27b,3.54,30,1.16,25.80,10
27b,3.98,30,1.21,24.70,10
27b,3.97,30,1.10,27.37,10
27b,4.88,30,1.07,28.16,10
27b,3.59,30,1.12,26.75,10
27b,4.57,30,1.13,26.54,10
27b,4.27,30,1.05,28.58,10
27b,3.72,30,1.14,26.23,10
27b,4.15,30,1.20,24.90,10
27b,4.24,30,1.46,20.53,10
27b,3.84,30,1.48,20.26,10
27b,3.74,30,1.12,26.88,10
27b,4.19,30,1.18,25.35,10
27b,4.17,30,1.11,27.11,10
27b,4.67,30,1.05,28.69,10
27b,3.61,30,1.12,26.89,10
27b,4.15,30,1.13,26.54,10
27b,3.84,30,1.25,23.91,10
27b,4.13,30,1.29,23.33,10
27b,3.78,30,1.56,19.25,10
27b,3.87,30,1.53,19.56,10
27b,4.10,30,1.05,28.54,10
27b,3.75,30,1.12,26.87,10
27b,4.23,30,1.14,26.20,10
27b,4.17,30,1.40,21.47,10
27b,4.32,30,1.43,21.02,10
27b,3.47,30,1.12,26.73,10
27b,4.21,30,1.12,26.76,10
27b,3.87,30,1.09,27.54,10
27b,4.10,30,1.11,26.94,10
27b,3.77,30,1.11,26.99,10
27b,4.39,30,1.10,27.36,10
27b,4.08,30,1.23,24.39,10
27b,4.40,30,1.25,24.01,10
27b,3.76,30,1.15,26.08,10
27b,4.69,30,1.13,26.46,10
27b,4.11,30,1.05,28.66,10
27b,3.62,30,1.11,26.98,10
27b,4.58,30,1.15,26.18,10
27b,4.15,30,1.05,28.58,10
27b,3.29,30,1.10,27.16,10
27b,4.00,30,1.18,25.48,10
27b,3.85,30,1.98,15.17,10
27b,4.90,30,1.99,15.08,10
27b,3.64,30,1.11,26.98,10
27b,4.23,30,1.42,21.17,10
27b,4.17,30,1.09,27.57,10
27b,4.32,30,1.07,28.11,10
27b,3.74,30,1.47,20.35,10
27b,3.81,30,1.53,19.58,10
27b,4.29,30,1.96,15.34,10
27b,3.85,30,1.97,15.19,10
27b,3.79,30,1.11,26.95,10
27b,4.23,30,1.18,25.49,10
27b,4.41,30,1.08,27.81,10
27b,5.03,30,1.06,28.20,10
27b,3.83,30,1.12,26.78,10
27b,4.32,30,1.14,26.36,10
27b,4.36,30,1.05,28.67,10
27b,3.70,30,1.45,20.74,10
27b,3.78,30,1.51,19.92,10
27b,3.98,30,1.47,20.45,10
27b,4.02,30,1.50,19.97,10
27b,3.56,30,1.18,25.47,10
27b,4.26,30,1.38,21.69,10
27b,4.05,30,1.10,27.30,10
27b,4.83,30,1.05,28.59,10
27b,3.65,30,1.11,26.94,10
27b,4.15,30,1.17,25.73,10
27b,4.57,30,1.08,27.86,10
27b,4.64,30,1.08,27.84,10
27b,3.73,30,1.11,27.13,10
27b,4.27,30,1.12,26.89,10
27b,3.89,30,1.09,27.54,10
27b,4.72,30,1.06,28.43,10
27b,3.46,30,1.14,26.30,10
27b,4.70,30,1.10,27.32,10
27b,4.14,30,1.05,28.52,10
27b,3.77,30,1.12,26.88,10
27b,4.33,30,1.12,26.81,10
27b,4.38,30,1.04,28.75,10
27b,3.47,30,1.16,25.76,10
27b,4.19,30,1.13,26.57,10
27b,3.89,30,1.08,27.67,10
27b,4.00,30,1.07,28.15,10
27b,3.77,30,1.12,26.75,10
27b,4.19,30,1.19,25.21,10
27b,4.43,30,1.11,27.08,10
27b,4.86,30,1.14,26.42,10
27b,3.73,30,1.11,27.09,10
27b,4.44,30,1.10,27.32,10
27b,3.75,30,1.05,28.68,10
27b,3.79,30,1.12,26.73,10
27b,4.50,30,1.11,27.10,10
27b,4.15,30,1.05,28.63,10
27b,3.64,30,1.10,27.32,10
27b,4.10,30,1.14,26.21,10
27b,3.97,30,1.41,21.28,10
27b,4.09,30,1.45,20.71,10
27b,3.82,30,1.12,26.68,10
27b,4.36,30,1.12,26.88,10
27b,4.08,30,1.05,28.68,10
27b,3.62,30,1.12,26.75,10
27b,4.23,30,1.12,26.76,10
27b,4.38,30,1.09,27.44,10
27b,4.76,30,1.05,28.49,10
27b,3.76,30,1.13,26.51,10
27b,4.20,30,1.18,25.32,10
27b,3.98,30,1.26,23.86,10
27b,4.27,30,1.29,23.33,10
