model_size,init_time,tokens,decode_time,speed,count
1b,0.78,30,0.29,103.14,15
1b,0.77,30,0.28,106.99,15
1b,0.74,30,0.27,110.53,15
1b,0.72,30,0.29,105.05,15
1b,0.77,30,0.28,107.63,15
1b,0.76,30,0.27,109.48,15
1b,0.79,30,0.29,101.85,15
1b,0.74,30,0.28,108.73,15
1b,0.74,30,0.27,110.93,15
1b,0.76,30,0.29,103.30,15
1b,0.76,30,0.27,109.51,15
1b,0.82,30,0.32,94.52,15
1b,0.86,30,0.27,109.55,15
1b,0.69,30,0.28,107.91,15
1b,0.68,30,0.27,109.95,15
1b,0.81,30,0.30,101.30,15
1b,0.77,30,0.27,109.75,15
1b,0.73,30,0.27,110.45,15
1b,0.70,30,0.29,104.47,15
1b,0.78,30,0.28,107.23,15
1b,0.75,30,0.27,109.46,15
1b,0.72,30,0.29,104.38,15
1b,0.76,30,0.28,108.06,15
1b,0.83,30,0.27,109.10,15
1b,0.75,30,0.29,103.19,15
1b,0.74,30,0.28,108.29,15
1b,0.72,30,0.27,109.81,15
1b,0.87,30,0.32,95.08,15
1b,0.69,30,0.28,108.84,15
1b,0.68,30,0.27,110.10,15
1b,0.84,30,0.30,100.16,15
1b,0.79,30,0.27,110.24,15
1b,0.73,30,0.27,110.13,15
1b,0.86,30,0.29,103.24,15
1b,0.80,30,0.28,107.06,15
1b,0.79,30,0.29,105.10,15
1b,0.80,30,0.28,108.62,15
1b,0.75,30,0.27,110.75,15
1b,0.71,30,0.30,101.58,15
1b,0.77,30,0.28,108.64,15
1b,0.75,30,0.27,110.68,15
1b,0.72,30,0.28,106.55,15
1b,0.85,30,0.32,93.60,15
1b,0.70,30,0.28,108.82,15
1b,0.81,30,0.32,92.91,15
1b,0.84,30,0.30,101.02,15
1b,0.79,30,0.28,108.72,15
1b,0.85,30,0.33,91.33,15
1b,0.77,30,0.30,98.97,15
1b,0.74,30,0.30,101.18,15
1b,0.82,30,0.28,107.74,15
1b,0.75,30,0.27,109.41,15
1b,0.74,30,0.29,102.55,15
1b,0.88,30,0.28,107.27,15
1b,0.82,30,0.27,111.42,15
1b,0.78,30,0.29,105.05,15
1b,0.81,30,0.28,106.49,15
1b,0.81,30,0.27,109.95,15
1b,0.69,30,0.28,107.77,15
1b,0.67,30,0.28,108.13,15
1b,0.78,30,0.30,101.27,15
1b,0.77,30,0.28,108.66,15
1b,0.72,30,0.27,110.65,15
1b,0.70,30,0.29,105.10,15
1b,0.79,30,0.28,107.80,15
1b,0.86,30,0.28,108.31,15
1b,0.79,30,0.29,103.42,15
1b,0.76,30,0.27,109.19,15
1b,0.73,30,0.27,111.18,15
1b,0.79,30,0.29,103.91,15
1b,0.77,30,0.28,108.26,15
1b,0.73,30,0.27,110.10,15
1b,0.71,30,0.28,107.18,15
1b,0.74,30,0.28,109.06,15
1b,0.79,30,0.32,93.59,15
1b,0.77,30,0.29,103.92,15
1b,0.74,30,0.28,108.40,15
1b,0.77,30,0.27,110.38,15
1b,0.82,30,0.30,100.17,15
1b,0.76,30,0.27,110.22,15
1b,0.84,30,0.30,101.26,15
1b,0.78,30,0.28,108.27,15
1b,0.85,30,0.32,94.15,15
1b,0.84,30,0.30,99.86,15
1b,0.79,30,0.28,106.97,15
1b,0.86,30,0.32,93.49,15
1b,0.83,30,0.32,94.38,15
1b,0.82,30,0.28,108.00,15
1b,0.70,30,0.27,109.59,15
1b,0.81,30,0.31,97.53,15
1b,0.82,30,0.30,100.56,15
1b,0.78,30,0.27,110.08,15
1b,0.74,30,0.27,109.63,15
1b,0.79,30,0.30,101.49,15
1b,0.77,30,0.27,110.10,15
1b,0.74,30,0.27,109.90,15
1b,0.75,30,0.29,104.50,15
1b,0.75,30,0.28,108.81,15
1b,0.73,30,0.27,110.83,15
1b,0.71,30,0.28,108.53,15
1b,0.83,30,0.27,110.86,15
1b,0.76,30,0.30,98.79,15
1b,0.84,30,0.27,109.26,15
1b,0.70,30,0.29,102.46,15
1b,0.71,30,0.28,108.29,15
1b,0.75,30,0.28,109.00,15
1b,0.75,30,0.29,102.65,15
