model_size,init_time,tokens,decode_time,speed,count
1b,0.71,30,0.29,102.34,5
1b,0.86,30,0.36,82.26,5
1b,0.81,30,0.33,90.27,5
1b,0.80,30,0.29,103.40,5
1b,0.81,30,0.31,97.49,5
1b,0.71,30,0.30,101.11,5
1b,0.77,30,0.31,97.08,5
1b,0.78,30,0.30,100.74,5
1b,0.86,30,0.33,90.45,5
1b,0.87,30,0.35,86.74,5
1b,0.70,30,0.30,101.03,5
1b,0.83,30,0.34,87.52,5
1b,0.89,30,0.36,82.69,5
1b,0.80,30,0.30,100.32,5
1b,0.88,30,0.36,83.03,5
1b,0.72,30,0.30,101.21,5
1b,0.83,30,0.36,83.44,5
1b,0.80,30,0.31,97.48,5
1b,0.83,30,0.32,92.99,5
1b,0.83,30,0.31,97.64,5
1b,0.71,30,0.29,102.68,5
1b,0.83,30,0.33,90.38,5
1b,0.83,30,0.30,101.06,5
1b,0.79,30,0.30,99.86,5
1b,0.89,30,0.31,96.53,5
1b,0.76,30,0.33,91.64,5
1b,0.76,30,0.30,100.48,5
1b,0.74,30,0.28,108.99,5
1b,0.73,30,0.30,98.76,5
1b,0.76,30,0.30,101.23,5
1b,0.82,30,0.33,91.56,5
1b,0.80,30,0.30,99.45,5
1b,0.77,30,0.30,101.45,5
1b,0.76,30,0.30,98.59,5
1b,0.73,30,0.30,100.37,5
1b,0.70,30,0.29,103.01,5
1b,0.73,30,0.30,101.04,5
1b,0.83,30,0.30,98.87,5
1b,0.75,30,0.32,94.42,5
1b,0.86,30,0.35,84.98,5
1b,0.70,30,0.29,102.45,5
1b,0.84,30,0.32,93.96,5
1b,0.83,30,0.30,101.16,5
1b,0.80,30,0.29,102.31,5
1b,0.82,30,0.30,99.23,5
1b,0.72,30,0.29,104.43,5
1b,0.80,30,0.29,102.32,5
1b,0.86,30,0.33,91.71,5
1b,0.82,30,0.31,97.85,5
1b,0.78,30,0.29,102.15,5
1b,0.72,30,0.29,104.76,5
1b,0.75,30,0.30,99.67,5
1b,0.76,30,0.30,100.83,5
1b,0.76,30,0.32,93.72,5
1b,0.87,30,0.35,85.28,5
1b,0.72,30,0.29,103.15,5
1b,0.83,30,0.36,84.07,5
1b,0.79,30,0.34,88.16,5
1b,0.79,30,0.29,103.04,5
1b,0.75,30,0.28,108.95,5
1b,0.81,30,0.29,102.90,5
1b,0.79,30,0.30,100.68,5
1b,0.84,30,0.30,100.32,5
1b,0.80,30,0.30,99.85,5
1b,0.77,30,0.30,100.10,5
1b,0.72,30,0.29,102.54,5
1b,0.87,30,0.36,84.19,5
1b,0.80,30,0.33,89.86,5
1b,0.78,30,0.30,101.65,5
1b,0.86,30,0.35,85.49,5
1b,0.72,30,0.29,104.00,5
1b,0.82,30,0.35,84.99,5
1b,0.78,30,0.34,89.41,5
1b,0.79,30,0.29,102.09,5
1b,0.87,30,0.35,84.67,5
1b,0.72,30,0.29,103.52,5
1b,0.83,30,0.36,84.46,5
1b,0.88,30,0.30,98.92,5
1b,0.78,30,0.32,93.02,5
1b,0.82,30,0.30,100.39,5
1b,0.70,30,0.29,102.46,5
1b,0.72,30,0.30,100.11,5
1b,0.87,30,0.36,82.62,5
1b,0.79,30,0.29,104.37,5
1b,0.75,30,0.30,100.85,5
1b,0.76,30,0.29,102.54,5
1b,0.72,30,0.29,102.70,5
1b,0.72,30,0.28,109.01,5
1b,0.78,30,0.29,101.85,5
1b,0.76,30,0.29,102.60,5
1b,0.70,30,0.29,103.48,5
1b,0.72,30,0.30,101.52,5
1b,0.88,30,0.36,82.81,5
1b,0.93,30,0.32,92.87,5
1b,0.77,30,0.29,102.29,5
1b,0.70,30,0.29,104.39,5
1b,0.72,30,0.30,101.53,5
1b,0.80,30,0.30,99.06,5
1b,0.78,30,0.29,102.17,5
1b,0.74,30,0.27,110.19,5
