model_size,init_time,tokens,decode_time,speed,count
1b,0.77,30,0.58,51.34,10
1b,0.63,30,0.35,84.61,10
1b,0.64,30,0.35,84.53,10
1b,0.63,30,0.35,86.17,10
1b,0.62,30,0.35,84.97,10
1b,0.66,30,0.26,113.29,10
1b,0.66,30,0.36,82.67,10
1b,0.63,30,0.36,84.24,10
1b,0.63,30,0.30,101.07,10
1b,0.64,30,0.39,77.32,10
1b,0.77,30,0.62,48.21,10
1b,0.66,30,0.36,82.75,10
1b,0.66,30,0.39,77.89,10
1b,0.78,30,0.40,75.66,10
1b,0.65,30,0.26,113.84,10
1b,0.66,30,0.31,95.41,10
1b,0.65,30,0.35,86.57,10
1b,0.64,30,0.37,80.80,10
1b,0.64,30,0.37,80.75,10
1b,0.63,30,0.39,77.41,10
1b,0.79,30,0.55,54.58,10
1b,0.70,30,0.36,83.78,10
1b,0.68,30,0.29,104.06,10
1b,0.74,30,0.36,82.71,10
1b,0.67,30,0.35,85.30,10
1b,0.61,30,0.26,114.18,10
1b,0.70,30,0.38,79.19,10
1b,0.68,30,0.36,83.77,10
1b,0.64,30,0.36,83.81,10
1b,0.68,30,0.36,83.37,10
1b,0.79,30,0.59,50.81,10
1b,0.65,30,0.35,86.01,10
1b,0.71,30,0.28,105.43,10
1b,0.66,30,0.26,113.74,10
1b,0.65,30,0.35,84.89,10
1b,0.64,30,0.36,83.12,10
1b,0.67,30,0.26,114.25,10
1b,0.64,30,0.35,84.72,10
1b,0.63,30,0.35,85.96,10
1b,0.64,30,0.39,77.10,10
1b,0.79,30,0.59,50.91,10
1b,0.66,30,0.35,84.59,10
1b,0.63,30,0.35,86.04,10
1b,0.69,30,0.37,81.11,10
1b,0.66,30,0.26,116.85,10
1b,0.65,30,0.36,84.44,10
1b,0.64,30,0.34,87.23,10
1b,0.64,30,0.36,84.05,10
1b,0.64,30,0.27,110.00,10
1b,0.64,30,0.40,75.04,10
1b,0.77,30,0.58,52.08,10
1b,0.65,30,0.36,83.32,10
1b,0.64,30,0.36,84.31,10
1b,0.63,30,0.35,86.01,10
1b,0.64,30,0.36,83.64,10
1b,0.65,30,0.26,114.15,10
1b,0.66,30,0.36,84.32,10
1b,0.68,30,0.39,76.13,10
1b,0.63,30,0.35,85.11,10
1b,0.65,30,0.39,76.06,10
1b,0.76,30,0.58,51.31,10
1b,0.67,30,0.27,112.71,10
1b,0.65,30,0.37,82.08,10
1b,0.66,30,0.27,110.13,10
1b,0.66,30,0.36,83.56,10
1b,0.63,30,0.36,83.96,10
1b,0.65,30,0.36,83.95,10
1b,0.66,30,0.27,109.84,10
1b,0.64,30,0.36,83.62,10
1b,0.69,30,0.35,85.11,10
1b,0.75,30,0.56,53.82,10
1b,0.65,30,0.35,86.26,10
1b,0.66,30,0.25,118.72,10
1b,0.65,30,0.34,87.48,10
1b,0.62,30,0.35,86.67,10
1b,0.63,30,0.35,86.20,10
1b,0.65,30,0.35,84.80,10
1b,0.65,30,0.36,84.17,10
1b,0.69,30,0.39,76.82,10
1b,0.63,30,0.34,87.26,10
1b,0.83,30,0.58,51.68,10
1b,0.69,30,0.35,85.69,10
1b,0.63,30,0.26,114.63,10
1b,0.69,30,0.35,85.11,10
1b,0.68,30,0.35,86.32,10
1b,0.67,30,0.36,84.02,10
1b,0.64,30,0.24,123.06,10
1b,0.68,30,0.35,85.49,10
1b,0.63,30,0.26,116.80,10
1b,0.67,30,0.39,77.46,10
1b,0.81,30,0.57,52.39,10
1b,0.66,30,0.36,83.98,10
1b,0.63,30,0.35,85.12,10
1b,0.63,30,0.36,83.45,10
1b,0.64,30,0.37,82.02,10
1b,0.66,30,0.27,110.93,10
1b,0.67,30,0.37,80.92,10
1b,0.64,30,0.37,82.12,10
1b,0.67,30,0.37,81.08,10
1b,0.65,30,0.36,83.89,10
1b,0.88,30,0.57,52.66,10
1b,0.66,30,0.36,83.30,10
1b,0.63,30,0.35,86.28,10
1b,0.64,30,0.36,84.30,10
1b,0.66,30,0.26,116.00,10
1b,0.64,30,0.35,85.40,10
1b,0.65,30,0.37,81.06,10
1b,0.64,30,0.37,81.11,10
1b,0.63,30,0.36,83.40,10
1b,0.64,30,0.30,100.04,10
1b,0.79,30,0.58,51.94,10
1b,0.70,30,0.36,83.54,10
1b,0.69,30,0.36,83.58,10
1b,0.67,30,0.35,84.67,10
1b,0.67,30,0.35,86.41,10
1b,0.75,30,0.30,98.42,10
1b,0.68,30,0.35,85.08,10
1b,0.67,30,0.38,79.46,10
1b,0.65,30,0.29,102.11,10
1b,0.69,30,0.41,72.56,10
1b,0.79,30,0.55,54.54,10
1b,0.69,30,0.35,85.75,10
1b,0.68,30,0.34,87.03,10
1b,0.67,30,0.35,86.21,10
1b,0.67,30,0.35,84.71,10
1b,0.63,30,0.27,110.39,10
1b,0.66,30,0.26,116.58,10
1b,0.68,30,0.35,84.51,10
1b,0.63,30,0.26,114.27,10
1b,0.68,30,0.40,74.09,10
1b,0.78,30,0.57,52.92,10
1b,0.69,30,0.35,84.71,10
1b,0.62,30,0.26,114.05,10
1b,0.69,30,0.36,84.41,10
1b,0.67,30,0.36,83.60,10
1b,0.69,30,0.37,82.06,10
1b,0.68,30,0.36,83.79,10
