model_size,init_time,tokens,decode_time,speed,count
12b,2.72,30,0.82,36.67,15
12b,1.73,30,0.58,51.59,15
12b,1.83,30,0.59,50.55,15
12b,1.72,30,0.58,51.50,15
12b,2.00,30,0.53,56.25,15
12b,2.23,30,0.60,50.37,15
12b,2.02,30,0.53,56.09,15
12b,2.24,30,0.60,50.40,15
12b,2.01,30,0.53,56.83,15
12b,2.16,30,0.58,52.10,15
12b,2.00,30,0.60,50.19,15
12b,2.17,30,0.59,51.20,15
12b,2.01,30,0.53,56.13,15
12b,2.24,30,0.59,50.61,15
12b,1.73,30,0.58,51.72,15
12b,2.85,30,0.80,37.31,15
12b,2.04,30,0.59,50.84,15
12b,2.06,30,0.60,49.95,15
12b,2.05,30,0.60,49.94,15
12b,2.06,30,0.54,56.07,15
12b,2.06,30,0.61,49.59,15
12b,2.06,30,0.53,56.36,15
12b,1.72,30,0.53,56.89,15
12b,1.64,30,0.53,56.68,15
12b,2.04,30,0.60,49.92,15
12b,2.04,30,0.61,49.22,15
12b,2.07,30,0.53,56.35,15
12b,1.60,30,0.53,56.31,15
12b,2.06,30,0.62,48.62,15
12b,2.01,30,0.61,48.83,15
12b,3.13,30,0.84,35.88,15
12b,1.76,30,0.59,50.67,15
12b,1.71,30,0.59,50.47,15
12b,1.81,30,0.60,49.81,15
12b,1.72,30,0.53,56.59,15
12b,1.81,30,0.60,49.97,15
12b,1.99,30,0.53,56.66,15
12b,2.26,30,0.60,49.80,15
12b,1.72,30,0.59,51.00,15
12b,1.74,30,0.58,51.34,15
12b,2.02,30,0.59,51.13,15
12b,2.17,30,0.59,50.48,15
12b,1.76,30,0.53,56.49,15
12b,1.85,30,0.61,49.10,15
12b,1.84,30,0.62,48.57,15
12b,2.77,30,0.78,38.31,15
12b,1.73,30,0.59,50.63,15
12b,1.82,30,0.60,50.04,15
12b,1.73,30,0.59,50.74,15
12b,1.99,30,0.53,56.71,15
12b,2.23,30,0.60,50.21,15
12b,2.01,30,0.54,55.89,15
12b,2.23,30,0.61,49.29,15
12b,1.90,30,0.61,49.17,15
12b,1.92,30,0.60,50.36,15
12b,2.01,30,0.53,56.79,15
12b,2.16,30,0.60,50.02,15
12b,1.98,30,0.60,49.82,15
12b,2.25,30,0.62,48.42,15
12b,1.75,30,0.60,49.89,15
12b,2.83,30,0.81,37.15,15
12b,1.82,30,0.62,48.57,15
12b,2.00,30,0.53,56.69,15
12b,1.98,30,0.53,56.66,15
12b,2.17,30,0.59,50.92,15
12b,2.00,30,0.65,46.07,15
12b,2.25,30,0.66,45.57,15
12b,1.97,30,0.53,56.71,15
12b,2.16,30,0.60,49.96,15
12b,1.82,30,0.62,48.74,15
12b,2.01,30,0.53,56.79,15
12b,2.17,30,0.60,50.03,15
12b,1.84,30,0.63,47.98,15
12b,1.85,30,0.63,47.74,15
12b,1.74,30,0.60,49.70,15
12b,2.70,30,0.86,34.98,15
12b,1.72,30,0.65,46.00,15
12b,2.01,30,0.54,55.69,15
12b,2.24,30,0.66,45.30,15
12b,2.00,30,0.53,56.24,15
12b,2.23,30,0.66,45.18,15
12b,1.95,30,0.55,54.52,15
12b,2.09,30,0.66,45.44,15
12b,1.99,30,0.54,55.87,15
12b,2.14,30,0.65,46.29,15
12b,1.74,30,0.65,45.91,15
12b,1.97,30,0.53,56.37,15
12b,2.00,30,0.54,56.00,15
