model_size,init_time,tokens,decode_time,speed,count
27b,3.86,30,1.53,19.57,15
27b,3.84,30,1.60,18.79,15
27b,4.10,30,1.97,15.20,15
27b,4.66,30,1.98,15.16,15
27b,3.52,30,1.58,19.01,15
27b,3.51,30,1.61,18.58,15
27b,4.12,30,1.77,16.95,15
27b,3.86,30,1.81,16.57,15
27b,3.60,30,1.43,21.01,15
27b,3.65,30,1.53,19.58,15
27b,4.12,30,1.92,15.63,15
27b,3.75,30,1.93,15.51,15
27b,3.59,30,1.49,20.17,15
27b,3.53,30,1.64,18.32,15
27b,3.92,30,1.62,18.52,15
27b,3.80,30,1.67,17.95,15
27b,3.70,30,1.74,17.26,15
27b,3.46,30,1.82,16.50,15
27b,3.90,30,1.78,16.90,15
27b,4.64,30,1.83,16.37,15
27b,3.42,30,1.44,20.79,15
27b,3.52,30,1.51,19.82,15
27b,4.03,30,1.44,20.89,15
27b,4.12,30,1.48,20.31,15
27b,3.15,30,1.12,26.85,15
27b,3.71,30,1.17,25.56,15
27b,4.10,30,1.09,27.52,15
27b,4.21,30,1.07,27.98,15
27b,3.41,30,1.39,21.52,15
27b,3.63,30,1.41,21.23,15
27b,4.32,30,1.46,20.57,15
27b,3.90,30,1.49,20.18,15
27b,3.23,30,1.11,27.13,15
27b,3.83,30,1.11,26.95,15
27b,3.97,30,1.09,27.41,15
27b,4.55,30,1.08,27.69,15
27b,3.15,30,1.10,27.19,15
27b,3.66,30,1.18,25.44,15
27b,4.20,30,1.10,27.39,15
27b,4.27,30,1.11,26.91,15
27b,4.21,30,1.04,28.75,15
27b,3.47,30,1.20,25.04,15
27b,3.74,30,1.34,22.44,15
27b,4.36,30,1.60,18.75,15
27b,4.24,30,1.67,17.97,15
27b,3.53,30,1.37,21.87,15
27b,3.67,30,1.46,20.52,15
27b,4.15,30,1.40,21.36,15
27b,4.24,30,1.46,20.53,15
27b,3.91,30,1.77,16.91,15
27b,3.61,30,1.89,15.90,15
27b,4.23,30,1.88,15.92,15
27b,3.85,30,1.92,15.64,15
27b,3.59,30,1.52,19.79,15
27b,3.64,30,1.57,19.08,15
27b,4.24,30,1.70,17.65,15
27b,4.01,30,1.77,16.99,15
27b,3.93,30,1.61,18.58,15
27b,3.85,30,1.66,18.02,15
27b,3.97,30,1.36,22.07,15
27b,4.16,30,1.39,21.66,15
27b,3.17,30,1.10,27.22,15
27b,3.66,30,1.17,25.57,15
27b,3.88,30,1.12,26.79,15
27b,4.09,30,1.06,28.17,15
27b,3.42,30,1.23,24.44,15
27b,3.85,30,1.25,24.01,15
27b,4.13,30,1.10,27.35,15
27b,4.16,30,1.09,27.48,15
27b,3.60,30,1.45,20.63,15
27b,3.57,30,1.64,18.34,15
27b,4.11,30,1.54,19.47,15
27b,4.07,30,1.58,18.94,15
27b,3.50,30,1.35,22.29,15
27b,3.71,30,1.41,21.29,15
27b,3.92,30,1.66,18.04,15
27b,3.83,30,1.69,17.77,15
27b,3.17,30,1.10,27.27,15
27b,3.69,30,1.16,25.97,15
27b,4.04,30,1.40,21.44,15
27b,4.18,30,1.44,20.85,15
27b,3.29,30,1.36,22.04,15
27b,3.47,30,1.42,21.08,15
27b,4.30,30,1.65,18.19,15
27b,4.14,30,1.71,17.55,15
27b,3.47,30,1.57,19.07,15
27b,3.46,30,1.63,18.40,15
27b,4.09,30,1.74,17.27,15
27b,3.87,30,1.79,16.75,15
27b,3.21,30,1.10,27.17,15
27b,3.63,30,1.19,25.27,15
27b,4.00,30,1.31,22.97,15
27b,4.24,30,1.33,22.50,15
27b,4.46,30,2.02,14.84,15
27b,3.95,30,2.05,14.63,15
27b,4.31,30,1.75,17.18,15
27b,4.06,30,1.82,16.52,15
27b,3.55,30,1.52,19.79,15
27b,3.59,30,1.57,19.13,15
27b,3.84,30,1.66,18.05,15
27b,3.74,30,1.70,17.68,15
27b,3.69,30,1.58,18.95,15
27b,3.58,30,1.69,17.76,15
27b,4.10,30,1.79,16.73,15
27b,3.80,30,1.85,16.19,15
27b,3.52,30,1.74,17.25,15
27b,3.34,30,1.80,16.70,15
27b,4.05,30,1.75,17.16,15
27b,3.78,30,1.83,16.40,15
27b,3.66,30,2.03,14.78,15
27b,3.19,30,2.04,14.69,15
27b,4.20,30,1.61,18.65,15
27b,4.10,30,1.66,18.05,15
27b,3.62,30,1.51,19.84,15
27b,3.59,30,1.68,17.86,15
27b,3.99,30,1.37,21.88,15
27b,4.11,30,1.42,21.13,15
27b,3.48,30,1.22,24.55,15
27b,3.83,30,1.26,23.79,15
27b,4.17,30,1.10,27.37,15
27b,4.28,30,1.07,28.00,15
27b,3.73,30,1.51,19.91,15
27b,3.62,30,1.67,17.91,15
27b,4.46,30,1.73,17.37,15
27b,4.24,30,1.77,17.00,15
