model_size,init_time,tokens,decode_time,speed,count
12b,1.99,30,0.64,46.58,1
12b,1.96,30,0.64,46.79,1
12b,2.11,30,0.64,47.16,1
12b,2.09,30,0.64,46.89,1
12b,1.97,30,0.64,46.85,1
12b,2.06,30,0.64,46.66,1
12b,1.95,30,0.64,46.96,1
12b,1.98,30,0.64,46.67,1
12b,1.94,30,0.64,46.78,1
12b,2.03,30,0.64,46.92,1
12b,1.97,30,0.64,46.94,1
12b,1.95,30,0.64,46.93,1
12b,1.94,30,0.64,46.57,1
12b,2.00,30,0.64,47.03,1
12b,1.94,30,0.64,46.79,1
12b,2.03,30,0.64,46.68,1
12b,1.99,30,0.64,46.91,1
12b,1.96,30,0.64,46.78,1
12b,1.94,30,0.64,46.91,1
12b,1.95,30,0.64,46.72,1
12b,2.00,30,0.64,46.89,1
12b,1.98,30,0.64,47.02,1
12b,1.94,30,0.64,46.93,1
12b,1.93,30,0.64,46.81,1
12b,1.93,30,0.64,46.92,1
12b,1.97,30,0.64,46.75,1
12b,1.94,30,0.64,46.71,1
12b,1.93,30,0.64,47.02,1
12b,1.92,30,0.64,46.77,1
12b,1.92,30,0.64,46.98,1
12b,1.92,30,0.64,46.85,1
