model_size,init_time,tokens,decode_time,speed,count
12b,2.09,30,0.71,42.47,15
12b,2.32,30,1.15,26.10,15
12b,2.84,30,1.14,26.23,15
12b,3.04,30,0.90,33.46,15
12b,2.87,30,0.93,32.39,15
12b,3.35,30,0.69,43.31,15
12b,3.47,30,1.04,28.73,15
12b,3.14,30,1.29,23.23,15
12b,3.03,30,1.23,24.40,15
12b,3.43,30,1.04,28.99,15
12b,3.12,30,1.05,28.56,15
12b,3.21,30,0.62,48.17,15
12b,1.92,30,0.70,43.10,15
12b,2.51,30,0.83,35.94,15
12b,2.38,30,0.87,34.55,15
12b,3.17,30,1.06,28.40,15
12b,2.75,30,1.09,27.61,15
12b,2.77,30,1.25,23.91,15
12b,3.33,30,1.22,24.50,15
12b,3.03,30,0.96,31.26,15
12b,3.16,30,0.73,41.10,15
12b,2.83,30,1.13,26.60,15
12b,2.58,30,1.40,21.39,15
12b,3.66,30,1.35,22.15,15
12b,3.46,30,0.68,44.43,15
12b,1.96,30,0.72,41.42,15
12b,2.51,30,0.91,33.13,15
12b,2.30,30,0.94,32.07,15
12b,3.02,30,0.84,35.69,15
12b,2.85,30,0.89,33.65,15
12b,3.32,30,0.85,35.09,15
12b,3.06,30,1.02,29.31,15
12b,3.08,30,1.01,29.69,15
12b,3.68,30,0.70,43.14,15
12b,3.26,30,1.52,19.73,15
12b,3.89,30,1.64,18.32,15
12b,3.02,30,1.70,17.70,15
12b,3.03,30,1.39,21.65,15
12b,1.93,30,0.70,42.88,15
12b,2.29,30,0.72,41.56,15
12b,2.47,30,0.74,40.39,15
12b,3.17,30,1.01,29.72,15
12b,2.80,30,1.07,28.05,15
12b,2.68,30,0.84,35.60,15
12b,3.71,30,1.19,25.12,15
12b,2.87,30,1.14,26.36,15
12b,3.15,30,0.84,35.76,15
12b,3.02,30,1.19,25.15,15
12b,2.76,30,1.09,27.51,15
12b,3.31,30,0.92,32.55,15
12b,2.95,30,0.98,30.56,15
12b,1.95,30,0.71,42.11,15
12b,2.72,30,0.99,30.24,15
12b,2.36,30,1.05,28.68,15
12b,3.30,30,1.12,26.79,15
12b,2.80,30,1.14,26.38,15
12b,3.25,30,0.76,39.64,15
12b,3.07,30,0.79,37.89,15
12b,3.75,30,0.93,32.11,15
12b,2.98,30,1.23,24.46,15
12b,2.90,30,1.16,25.91,15
12b,3.13,30,0.82,36.52,15
12b,3.39,30,0.64,46.75,15
12b,1.94,30,0.72,41.57,15
12b,2.52,30,0.85,35.42,15
12b,2.36,30,0.90,33.25,15
12b,3.21,30,1.24,24.28,15
12b,2.76,30,1.31,22.94,15
12b,2.78,30,1.14,26.35,15
12b,3.50,30,1.06,28.42,15
12b,3.08,30,1.14,26.24,15
12b,3.26,30,1.00,30.15,15
12b,2.97,30,1.19,25.22,15
12b,2.97,30,0.98,30.61,15
12b,2.79,30,0.71,42.31,15
12b,1.97,30,0.72,41.79,15
12b,2.52,30,0.86,34.70,15
