model_size,init_time,tokens,decode_time,speed,count
4b,1.02,30,0.41,73.92,15
4b,1.18,30,0.43,70.42,15
4b,1.09,30,0.41,72.92,15
4b,1.27,30,0.40,74.27,15
4b,1.15,30,0.38,78.10,15
4b,1.29,30,0.43,69.81,15
4b,1.29,30,0.43,69.27,15
4b,1.19,30,0.41,73.04,15
4b,1.18,30,0.40,74.58,15
4b,1.25,30,0.38,79.76,15
4b,1.29,30,0.40,74.83,15
4b,1.13,30,0.44,68.13,15
4b,1.25,30,0.37,80.20,15
4b,1.25,30,0.40,74.79,15
4b,1.24,30,0.43,70.57,15
4b,0.92,30,0.37,80.18,15
4b,1.17,30,0.40,74.81,15
4b,1.26,30,0.39,76.19,15
4b,1.01,30,0.41,72.94,15
4b,1.19,30,0.40,75.27,15
4b,1.29,30,0.41,73.19,15
4b,1.14,30,0.40,74.86,15
4b,1.21,30,0.38,79.45,15
4b,1.15,30,0.42,71.42,15
4b,1.13,30,0.43,69.75,15
4b,1.24,30,0.38,78.60,15
4b,1.09,30,0.41,73.42,15
4b,1.19,30,0.37,80.54,15
4b,1.21,30,0.40,75.84,15
4b,1.32,30,0.41,72.99,15
4b,1.06,30,0.38,79.12,15
4b,1.15,30,0.40,75.51,15
4b,1.25,30,0.42,71.52,15
4b,1.34,30,0.42,70.95,15
4b,1.09,30,0.44,68.26,15
4b,1.24,30,0.40,74.68,15
4b,1.15,30,0.38,79.47,15
4b,1.30,30,0.40,74.17,15
4b,1.14,30,0.39,76.97,15
4b,1.29,30,0.41,73.57,15
4b,1.09,30,0.41,72.38,15
4b,1.23,30,0.41,74.05,15
4b,1.15,30,0.37,80.41,15
4b,1.29,30,0.41,73.18,15
4b,1.09,30,0.39,77.87,15
4b,0.91,30,0.38,79.50,15
4b,1.10,30,0.40,75.67,15
4b,1.25,30,0.42,72.11,15
4b,0.94,30,0.44,68.64,15
4b,1.16,30,0.37,81.20,15
4b,1.34,30,0.41,72.81,15
4b,1.08,30,0.48,61.90,15
4b,1.26,30,0.38,78.42,15
4b,1.07,30,0.40,75.44,15
