model_size,init_time,tokens,decode_time,speed,count
27b,3.51,30,1.04,28.83,1
27b,3.49,30,1.05,28.62,1
27b,3.62,30,1.09,27.49,1
27b,3.58,30,1.09,27.48,1
27b,3.44,30,1.09,27.46,1
27b,3.45,30,1.05,28.45,1
27b,3.34,30,1.05,28.65,1
27b,3.39,30,1.05,28.49,1
27b,3.35,30,1.05,28.56,1
27b,3.34,30,1.05,28.48,1
27b,3.40,30,1.05,28.55,1
27b,3.34,30,1.05,28.52,1
27b,3.34,30,1.05,28.52,1
27b,3.42,30,1.05,28.57,1
27b,3.36,30,1.05,28.44,1
27b,3.33,30,1.05,28.55,1
27b,3.43,30,1.05,28.57,1
27b,3.41,30,1.05,28.47,1
27b,3.37,30,1.05,28.51,1
27b,3.34,30,1.05,28.49,1
27b,3.35,30,1.05,28.47,1
27b,3.34,30,1.06,28.43,1
27b,3.34,30,1.05,28.48,1
27b,3.42,30,1.05,28.62,1
27b,3.34,30,1.05,28.57,1
27b,3.35,30,1.05,28.51,1
27b,3.38,30,1.05,28.52,1
27b,3.35,30,1.05,28.47,1
27b,3.34,30,1.05,28.47,1
27b,3.42,30,1.05,28.53,1
27b,3.39,30,1.06,28.39,1
