model_size,init_time,tokens,decode_time,speed,count
4b,1.19,30,0.54,55.35,10
4b,1.07,30,0.43,69.33,10
4b,0.97,30,0.32,93.10,10
4b,1.08,30,0.44,68.07,10
4b,1.10,30,0.45,67.19,10
4b,0.95,30,0.32,93.77,10
4b,0.92,30,0.33,90.97,10
4b,1.07,30,0.44,68.75,10
4b,1.11,30,0.34,87.86,10
4b,1.07,30,0.42,70.84,10
4b,1.44,30,0.64,46.56,10
4b,1.07,30,0.43,69.01,10
4b,1.06,30,0.43,69.29,10
4b,1.06,30,0.43,69.92,10
4b,0.99,30,0.32,93.69,10
4b,0.91,30,0.30,99.49,10
4b,1.07,30,0.43,69.48,10
4b,1.00,30,0.32,94.14,10
4b,1.09,30,0.43,69.11,10
4b,1.06,30,0.36,83.04,10
4b,1.33,30,0.64,46.61,10
4b,1.07,30,0.45,66.77,10
4b,1.06,30,0.44,68.04,10
4b,0.99,30,0.33,89.67,10
4b,1.07,30,0.45,66.58,10
4b,0.95,30,0.33,92.07,10
4b,1.07,30,0.44,68.21,10
4b,0.99,30,0.34,89.23,10
4b,1.07,30,0.40,75.87,10
4b,1.09,30,0.44,68.18,10
4b,1.41,30,0.69,43.73,10
4b,1.00,30,0.44,67.64,10
4b,1.03,30,0.32,92.86,10
4b,1.02,30,0.42,71.35,10
4b,1.00,30,0.44,68.08,10
4b,0.98,30,0.44,67.52,10
4b,1.03,30,0.45,66.23,10
4b,1.02,30,0.46,64.55,10
4b,0.98,30,0.45,67.05,10
4b,1.01,30,0.48,62.06,10
4b,1.50,30,0.69,43.76,10
4b,1.01,30,0.44,67.53,10
4b,1.02,30,0.32,93.32,10
4b,1.03,30,0.44,68.40,10
4b,1.03,30,0.44,68.26,10
4b,0.99,30,0.45,66.33,10
4b,0.98,30,0.45,67.09,10
4b,1.00,30,0.45,66.07,10
4b,1.04,30,0.34,89.32,10
4b,1.01,30,0.49,61.28,10
4b,1.36,30,0.69,43.43,10
4b,1.09,30,0.35,85.63,10
4b,1.03,30,0.33,91.63,10
4b,1.02,30,0.40,74.13,10
4b,1.00,30,0.43,70.03,10
4b,0.97,30,0.43,70.00,10
4b,1.02,30,0.44,68.71,10
4b,0.99,30,0.45,67.01,10
4b,1.03,30,0.45,67.40,10
4b,0.97,30,0.50,60.25,10
4b,1.48,30,0.68,43.84,10
