model_size,init_time,tokens,decode_time,speed,count
4b,0.99,30,0.40,74.74,5
4b,1.17,30,0.38,78.99,5
4b,1.20,30,0.38,78.42,5
4b,1.14,30,0.41,73.01,5
4b,1.11,30,0.40,74.32,5
4b,0.99,30,0.40,75.42,5
4b,1.13,30,0.37,80.36,5
4b,1.18,30,0.38,79.40,5
4b,1.21,30,0.37,80.93,5
4b,1.23,30,0.37,81.97,5
4b,1.11,30,0.37,80.32,5
4b,1.21,30,0.38,78.73,5
4b,1.25,30,0.38,79.66,5
4b,1.29,30,0.38,79.34,5
4b,1.14,30,0.38,79.52,5
4b,0.94,30,0.38,77.93,5
4b,1.11,30,0.37,80.69,5
4b,1.18,30,0.38,78.78,5
4b,1.20,30,0.37,80.52,5
4b,1.11,30,0.40,74.83,5
4b,0.92,30,0.37,80.31,5
4b,1.15,30,0.38,79.59,5
4b,1.12,30,0.41,72.61,5
4b,1.04,30,0.38,78.86,5
4b,1.12,30,0.37,81.77,5
4b,0.97,30,0.41,73.94,5
4b,1.09,30,0.37,80.02,5
4b,1.17,30,0.38,78.47,5
4b,1.22,30,0.37,80.56,5
4b,1.25,30,0.37,81.31,5
4b,0.99,30,0.39,77.07,5
4b,1.16,30,0.38,79.73,5
4b,1.10,30,0.43,69.68,5
4b,1.07,30,0.40,75.04,5
4b,1.27,30,0.37,81.43,5
4b,0.98,30,0.40,75.92,5
4b,1.13,30,0.39,77.58,5
4b,1.07,30,0.40,74.22,5
4b,1.19,30,0.38,79.79,5
4b,1.23,30,0.37,81.90,5
4b,0.97,30,0.40,75.73,5
4b,1.11,30,0.37,80.89,5
4b,1.18,30,0.38,78.03,5
4b,1.14,30,0.39,75.95,5
4b,1.20,30,0.37,81.16,5
4b,0.92,30,0.38,78.86,5
4b,1.07,30,0.38,78.66,5
4b,1.16,30,0.39,77.58,5
4b,1.03,30,0.38,78.61,5
4b,1.18,30,0.36,82.45,5
4b,1.07,30,0.38,79.29,5
4b,1.17,30,0.38,78.30,5
4b,1.08,30,0.42,71.36,5
4b,1.28,30,0.43,70.42,5
4b,1.08,30,0.40,75.33,5
4b,1.07,30,0.38,79.78,5
4b,1.15,30,0.39,77.16,5
4b,1.03,30,0.41,73.31,5
4b,1.25,30,0.38,78.97,5
4b,1.33,30,0.36,82.57,5
4b,0.99,30,0.40,74.33,5
4b,1.10,30,0.38,78.79,5
4b,1.18,30,0.38,79.22,5
4b,1.24,30,0.40,74.40,5
4b,1.31,30,0.41,72.71,5
4b,0.94,30,0.38,78.25,5
4b,1.14,30,0.37,81.14,5
4b,1.26,30,0.38,78.65,5
4b,1.10,30,0.38,79.38,5
4b,1.28,30,0.41,73.87,5
4b,0.94,30,0.38,78.54,5
4b,1.17,30,0.37,80.55,5
4b,1.25,30,0.39,76.22,5
4b,1.02,30,0.40,75.03,5
4b,1.22,30,0.37,81.50,5
4b,0.97,30,0.38,79.49,5
4b,1.19,30,0.41,73.84,5
4b,1.27,30,0.38,79.17,5
4b,1.11,30,0.38,79.90,5
4b,1.20,30,0.37,81.58,5
4b,0.93,30,0.38,78.15,5
4b,1.10,30,0.37,80.25,5
4b,1.17,30,0.38,78.52,5
4b,1.03,30,0.38,78.46,5
4b,1.21,30,0.41,72.87,5
4b,1.06,30,0.38,79.43,5
4b,1.19,30,0.38,78.29,5
4b,1.11,30,0.38,78.55,5
4b,1.26,30,0.38,79.79,5
4b,1.07,30,0.38,78.51,5
4b,0.93,30,0.38,79.17,5
4b,1.14,30,0.37,80.01,5
4b,1.18,30,0.39,77.78,5
4b,1.00,30,0.39,77.38,5
4b,1.23,30,0.37,81.35,5
4b,0.98,30,0.39,76.85,5
4b,1.12,30,0.38,79.57,5
4b,1.21,30,0.38,78.00,5
4b,1.09,30,0.38,78.48,5
4b,1.26,30,0.37,81.35,5
4b,0.99,30,0.39,77.11,5
4b,1.09,30,0.38,78.23,5
4b,1.15,30,0.38,78.46,5
4b,1.19,30,0.37,80.46,5
4b,1.28,30,0.37,81.33,5
4b,1.09,30,0.40,75.66,5
4b,1.17,30,0.38,78.63,5
4b,1.08,30,0.39,77.91,5
4b,1.29,30,0.40,75.82,5
4b,1.02,30,0.41,74.01,5
4b,0.93,30,0.38,79.61,5
4b,1.19,30,0.43,69.42,5
4b,1.13,30,0.40,74.50,5
4b,1.09,30,0.41,73.26,5
4b,1.16,30,0.36,82.56,5
4b,0.96,30,0.38,78.64,5
4b,1.13,30,0.37,80.87,5
4b,1.21,30,0.38,78.74,5
4b,1.25,30,0.38,78.60,5
4b,1.11,30,0.38,79.35,5
4b,1.07,30,0.38,79.36,5
4b,1.17,30,0.38,78.86,5
4b,1.09,30,0.39,76.35,5
4b,1.25,30,0.37,80.82,5
4b,1.28,30,0.37,81.88,5
4b,0.93,30,0.38,78.08,5
4b,1.09,30,0.38,79.92,5
4b,1.17,30,0.39,77.10,5
4b,1.04,30,0.38,78.14,5
4b,1.22,30,0.37,81.69,5
4b,1.09,30,0.38,78.55,5
4b,1.20,30,0.42,71.09,5
4b,1.14,30,0.38,79.64,5
