model_size,init_time,tokens,decode_time,speed,count
1b,0.70,30,0.27,110.42,10
1b,0.81,30,0.33,91.45,10
1b,0.82,30,0.27,109.70,10
1b,0.75,30,0.27,111.69,10
1b,0.75,30,0.27,110.55,10
1b,0.87,30,0.32,93.92,10
1b,0.86,30,0.28,109.02,10
1b,0.82,30,0.33,91.83,10
1b,0.75,30,0.31,98.19,10
1b,0.81,30,0.28,108.94,10
1b,0.67,30,0.27,111.99,10
1b,0.68,30,0.28,108.86,10
1b,0.74,30,0.27,110.15,10
1b,0.70,30,0.27,109.88,10
1b,0.78,30,0.27,111.27,10
1b,0.73,30,0.27,110.04,10
1b,0.77,30,0.27,110.36,10
1b,0.87,30,0.33,91.75,10
1b,0.74,30,0.27,109.56,10
1b,0.82,30,0.27,110.90,10
1b,0.68,30,0.27,110.95,10
1b,0.81,30,0.30,101.59,10
1b,0.84,30,0.32,92.55,10
1b,0.73,30,0.30,98.50,10
1b,0.72,30,0.27,109.16,10
1b,0.71,30,0.28,108.87,10
1b,0.74,30,0.27,110.16,10
1b,0.76,30,0.32,93.82,10
1b,0.75,30,0.27,110.37,10
1b,0.84,30,0.29,104.20,10
1b,0.68,30,0.27,110.60,10
1b,0.69,30,0.28,108.08,10
1b,0.75,30,0.27,112.15,10
1b,0.76,30,0.27,110.70,10
1b,0.86,30,0.33,90.15,10
1b,0.71,30,0.27,111.90,10
1b,0.70,30,0.27,110.61,10
1b,0.75,30,0.28,107.96,10
1b,0.84,30,0.32,92.59,10
1b,0.82,30,0.28,108.17,10
1b,0.70,30,0.27,110.93,10
1b,0.81,30,0.30,100.31,10
1b,0.84,30,0.32,92.79,10
1b,0.85,30,0.28,105.58,10
1b,0.77,30,0.27,112.28,10
1b,0.71,30,0.27,110.84,10
1b,0.85,30,0.28,108.97,10
1b,0.83,30,0.28,109.06,10
1b,0.71,30,0.30,99.03,10
1b,0.72,30,0.27,110.58,10
1b,0.68,30,0.27,111.65,10
1b,0.79,30,0.32,93.46,10
1b,0.78,30,0.28,108.79,10
1b,0.71,30,0.27,111.84,10
1b,0.70,30,0.27,109.38,10
1b,0.76,30,0.28,107.60,10
1b,0.72,30,0.27,110.55,10
1b,0.85,30,0.28,108.49,10
1b,0.84,30,0.32,92.61,10
1b,0.75,30,0.31,98.26,10
1b,0.70,30,0.27,110.46,10
1b,0.70,30,0.27,111.44,10
1b,0.84,30,0.33,90.84,10
1b,0.74,30,0.30,98.99,10
1b,0.83,30,0.30,100.31,10
1b,0.77,30,0.27,110.30,10
1b,0.75,30,0.27,110.87,10
1b,0.72,30,0.27,109.18,10
1b,0.68,30,0.27,111.18,10
1b,0.72,30,0.27,110.04,10
1b,0.69,30,0.27,110.66,10
1b,0.70,30,0.27,109.49,10
1b,0.77,30,0.27,110.99,10
1b,0.74,30,0.27,110.98,10
1b,0.82,30,0.32,92.94,10
1b,0.85,30,0.31,96.56,10
1b,0.76,30,0.31,96.94,10
1b,0.77,30,0.27,111.56,10
1b,0.82,30,0.32,92.61,10
1b,0.69,30,0.28,105.30,10
1b,0.75,30,0.27,111.34,10
1b,0.82,30,0.32,94.34,10
1b,0.72,30,0.29,104.10,10
1b,0.85,30,0.32,92.57,10
1b,0.86,30,0.31,97.19,10
1b,0.75,30,0.28,107.08,10
1b,0.73,30,0.27,111.14,10
1b,0.86,30,0.33,91.39,10
1b,0.76,30,0.30,98.81,10
1b,0.73,30,0.27,110.31,10
1b,0.67,30,0.27,111.04,10
1b,0.78,30,0.27,110.88,10
1b,0.74,30,0.27,110.58,10
1b,0.77,30,0.28,108.68,10
1b,0.88,30,0.30,99.43,10
1b,0.72,30,0.30,99.37,10
1b,0.83,30,0.33,91.63,10
1b,0.85,30,0.27,109.44,10
1b,0.76,30,0.27,110.53,10
1b,0.83,30,0.32,93.40,10
1b,0.77,30,0.28,107.53,10
1b,0.70,30,0.27,111.10,10
1b,0.70,30,0.28,109.00,10
1b,0.71,30,0.27,111.89,10
1b,0.85,30,0.27,109.62,10
1b,0.80,30,0.28,108.72,10
1b,0.73,30,0.27,111.94,10
1b,0.74,30,0.27,112.52,10
1b,0.74,30,0.27,109.84,10
1b,0.66,30,0.27,112.05,10
1b,0.64,30,0.27,112.04,10
1b,0.73,30,0.27,110.99,10
1b,0.71,30,0.27,110.44,10
1b,0.75,30,0.27,110.91,10
1b,0.85,30,0.28,108.13,10
1b,0.79,30,0.27,111.49,10
1b,0.73,30,0.27,112.40,10
1b,0.67,30,0.28,108.34,10
1b,0.85,30,0.32,94.98,10
1b,0.75,30,0.30,101.18,10
1b,0.66,30,0.28,108.32,10
1b,0.80,30,0.30,99.56,10
1b,0.77,30,0.27,111.36,10
1b,0.82,30,0.31,98.06,10
1b,0.76,30,0.27,111.27,10
