model_size,init_time,tokens,decode_time,speed,count
12b,1.93,30,0.69,43.22,10
12b,2.18,30,0.74,40.52,10
12b,2.59,30,0.77,38.74,10
12b,3.18,30,1.14,26.31,10
12b,2.68,30,1.19,25.22,10
12b,3.06,30,1.18,25.48,10
12b,2.77,30,1.13,26.45,10
12b,3.04,30,0.80,37.55,10
12b,1.89,30,0.72,41.78,10
12b,2.20,30,0.70,43.09,10
12b,2.47,30,0.73,41.11,10
12b,2.71,30,1.40,21.38,10
12b,3.21,30,1.46,20.48,10
12b,2.62,30,1.50,20.04,10
12b,2.71,30,1.13,26.47,10
12b,3.18,30,0.72,41.48,10
12b,2.02,30,0.72,41.81,10
12b,2.11,30,0.73,41.12,10
12b,2.67,30,0.73,41.13,10
12b,3.25,30,1.24,24.18,10
12b,2.75,30,1.26,23.76,10
12b,3.01,30,1.28,23.49,10
12b,2.68,30,1.20,24.93,10
12b,3.06,30,0.66,45.65,10
12b,1.92,30,0.71,42.12,10
12b,2.22,30,0.69,43.56,10
12b,2.45,30,0.71,41.99,10
12b,2.94,30,0.83,36.09,10
12b,2.78,30,0.88,34.21,10
12b,3.11,30,0.93,32.11,10
12b,2.80,30,1.00,30.14,10
12b,3.31,30,0.67,44.80,10
12b,2.94,30,0.64,47.11,10
12b,1.88,30,0.70,43.11,10
12b,2.34,30,0.69,43.64,10
12b,2.62,30,0.85,35.39,10
12b,2.59,30,0.87,34.36,10
12b,3.06,30,0.92,32.62,10
12b,2.85,30,1.13,26.49,10
12b,2.82,30,0.96,31.21,10
12b,3.22,30,0.76,39.40,10
12b,3.17,30,0.74,40.49,10
12b,1.90,30,0.69,43.47,10
12b,2.59,30,0.82,36.39,10
12b,2.47,30,0.88,34.18,10
12b,3.12,30,1.02,29.55,10
12b,2.74,30,1.09,27.62,10
12b,3.15,30,0.71,41.97,10
12b,2.94,30,0.67,44.82,10
12b,3.17,30,0.65,46.27,10
12b,1.90,30,0.70,42.85,10
12b,2.18,30,0.69,43.59,10
12b,2.54,30,0.81,37.15,10
12b,3.23,30,1.09,27.63,10
12b,2.77,30,1.25,24.00,10
12b,3.11,30,1.28,23.41,10
12b,2.64,30,1.31,22.89,10
12b,3.02,30,0.87,34.36,10
12b,1.88,30,0.69,43.23,10
12b,2.45,30,0.69,43.49,10
12b,2.61,30,0.75,39.89,10
12b,3.23,30,1.06,28.22,10
12b,2.81,30,1.16,25.88,10
12b,2.61,30,1.29,23.22,10
12b,3.27,30,1.21,24.83,10
12b,3.02,30,0.87,34.34,10
12b,1.89,30,0.70,42.84,10
12b,2.17,30,0.69,43.35,10
12b,2.80,30,0.82,36.68,10
12b,2.82,30,0.96,31.17,10
12b,2.61,30,1.01,29.77,10
12b,3.19,30,0.87,34.41,10
12b,2.94,30,0.93,32.27,10
12b,3.18,30,0.64,46.83,10
12b,3.19,30,0.66,45.48,10
12b,1.90,30,0.69,43.53,10
12b,2.25,30,0.71,42.11,10
12b,2.57,30,0.75,39.83,10
12b,3.19,30,1.06,28.37,10
12b,2.76,30,1.18,25.45,10
12b,2.63,30,1.19,25.31,10
12b,3.18,30,1.19,25.24,10
12b,3.14,30,0.72,41.45,10
12b,1.90,30,0.70,42.95,10
12b,2.36,30,0.68,44.31,10
12b,2.46,30,0.80,37.52,10
