model_size,init_time,tokens,decode_time,speed,count
12b,1.96,30,0.70,42.75,5
12b,2.01,30,0.72,41.42,5
12b,2.80,30,0.88,34.19,5
12b,2.50,30,0.97,30.90,5
12b,2.73,30,0.72,41.52,5
12b,1.96,30,0.71,42.39,5
12b,2.69,30,0.97,30.98,5
12b,2.35,30,1.22,24.66,5
12b,2.37,30,0.97,30.86,5
12b,2.90,30,0.62,48.34,5
12b,1.94,30,0.70,43.03,5
12b,2.55,30,0.83,36.29,5
12b,2.44,30,0.89,33.60,5
12b,2.45,30,0.84,35.62,5
12b,3.14,30,0.65,46.17,5
12b,1.97,30,0.72,41.81,5
12b,2.26,30,0.71,42.07,5
12b,2.80,30,1.14,26.27,5
12b,2.58,30,1.32,22.68,5
12b,2.09,30,1.33,22.62,5
12b,1.96,30,0.72,41.48,5
12b,2.56,30,0.89,33.82,5
12b,2.35,30,0.91,33.13,5
12b,2.63,30,0.74,40.73,5
12b,2.98,30,0.65,45.85,5
12b,1.96,30,0.70,42.87,5
12b,2.18,30,0.69,43.28,5
12b,2.73,30,0.80,37.66,5
12b,2.54,30,0.97,31.01,5
12b,2.59,30,0.82,36.72,5
12b,2.05,30,0.70,42.70,5
12b,2.30,30,0.70,42.61,5
12b,2.59,30,0.67,44.91,5
12b,2.61,30,0.68,44.00,5
12b,2.78,30,0.63,47.44,5
12b,1.94,30,0.72,41.48,5
12b,2.49,30,0.73,40.90,5
12b,2.42,30,0.78,38.58,5
12b,2.60,30,0.68,44.16,5
12b,2.76,30,0.63,47.84,5
12b,1.93,30,0.70,43.16,5
12b,2.47,30,0.67,44.47,5
12b,2.51,30,0.72,41.96,5
12b,2.57,30,0.70,42.75,5
12b,2.79,30,0.62,48.35,5
12b,1.94,30,0.69,43.48,5
12b,2.05,30,0.72,41.86,5
12b,2.62,30,0.66,45.71,5
12b,2.72,30,0.68,44.21,5
12b,2.85,30,0.66,45.67,5
12b,1.95,30,0.71,42.47,5
12b,2.21,30,0.68,44.17,5
12b,2.72,30,0.82,36.51,5
12b,2.55,30,1.03,29.07,5
12b,2.58,30,0.83,36.09,5
12b,1.97,30,0.70,42.66,5
12b,2.09,30,0.72,41.76,5
12b,2.68,30,0.75,39.89,5
12b,2.55,30,0.80,37.69,5
12b,2.93,30,0.68,43.98,5
12b,1.97,30,0.71,42.47,5
12b,2.21,30,0.70,42.86,5
12b,2.45,30,0.69,43.57,5
12b,2.62,30,0.75,40.05,5
12b,2.47,30,0.80,37.36,5
12b,1.94,30,0.69,43.23,5
12b,2.20,30,0.68,43.82,5
12b,2.85,30,0.82,36.67,5
