model_size,init_time,tokens,decode_time,speed,count
27b,3.57,30,1.15,26.10,15
27b,4.01,30,1.20,25.03,15
27b,4.06,30,1.10,27.19,15
27b,4.45,30,1.05,28.56,15
27b,3.39,30,1.15,26.20,15
27b,3.84,30,1.18,25.40,15
27b,4.02,30,1.10,27.33,15
27b,4.82,30,1.05,28.62,15
27b,3.58,30,1.40,21.36,15
27b,3.73,30,1.46,20.50,15
27b,3.92,30,1.65,18.15,15
27b,3.78,30,1.70,17.66,15
27b,3.38,30,1.33,22.61,15
27b,3.56,30,1.42,21.10,15
27b,4.27,30,1.60,18.71,15
27b,4.17,30,1.65,18.22,15
27b,3.42,30,1.28,23.41,15
27b,3.80,30,1.28,23.36,15
27b,4.10,30,1.09,27.65,15
27b,4.15,30,1.08,27.67,15
27b,3.37,30,1.14,26.40,15
27b,3.82,30,1.19,25.30,15
27b,3.97,30,1.13,26.54,15
27b,4.12,30,1.07,28.06,15
27b,3.35,30,1.11,27.01,15
27b,3.83,30,1.16,25.78,15
27b,3.85,30,1.11,27.02,15
27b,4.22,30,1.05,28.45,15
27b,3.37,30,1.11,26.92,15
27b,4.11,30,1.14,26.41,15
27b,3.85,30,1.10,27.30,15
27b,4.17,30,1.05,28.49,15
27b,3.43,30,1.27,23.69,15
27b,3.77,30,1.32,22.68,15
27b,4.09,30,1.10,27.27,15
27b,4.35,30,1.08,27.67,15
27b,3.36,30,1.12,26.84,15
27b,4.26,30,1.09,27.58,15
27b,4.19,30,1.13,26.60,15
27b,3.70,30,1.10,27.34,15
27b,3.34,30,1.12,26.80,15
27b,4.21,30,1.10,27.39,15
27b,4.16,30,1.13,26.44,15
27b,3.82,30,1.07,27.92,15
27b,3.32,30,1.48,20.31,15
27b,3.35,30,1.56,19.29,15
27b,4.58,30,2.01,14.91,15
27b,4.10,30,2.00,14.97,15
27b,3.44,30,1.31,22.82,15
27b,3.77,30,1.33,22.56,15
27b,3.96,30,1.62,18.53,15
27b,3.89,30,1.66,18.09,15
27b,3.35,30,1.11,27.00,15
27b,3.86,30,1.13,26.54,15
27b,3.86,30,1.11,27.13,15
27b,4.14,30,1.09,27.59,15
27b,3.37,30,1.11,26.91,15
27b,4.16,30,1.14,26.33,15
27b,4.05,30,1.09,27.44,15
27b,4.09,30,1.09,27.51,15
27b,3.40,30,1.16,25.89,15
27b,3.85,30,1.19,25.14,15
27b,4.04,30,1.09,27.52,15
27b,4.17,30,1.06,28.20,15
27b,3.40,30,1.15,26.00,15
27b,3.84,30,1.20,24.95,15
27b,3.91,30,1.12,26.77,15
27b,4.30,30,1.05,28.52,15
27b,3.39,30,1.16,25.79,15
27b,3.82,30,1.21,24.71,15
27b,4.12,30,1.31,22.85,15
27b,4.38,30,1.31,22.82,15
27b,3.59,30,1.11,27.09,15
27b,4.11,30,1.20,24.99,15
27b,4.02,30,1.47,20.37,15
27b,4.06,30,1.52,19.79,15
27b,3.46,30,1.27,23.64,15
27b,3.80,30,1.30,23.15,15
27b,4.00,30,1.68,17.85,15
27b,3.81,30,1.74,17.23,15
27b,3.37,30,1.14,26.32,15
27b,3.83,30,1.17,25.56,15
27b,3.98,30,1.40,21.46,15
27b,4.13,30,1.41,21.27,15
27b,3.42,30,1.15,26.16,15
27b,4.24,30,1.12,26.89,15
27b,4.03,30,1.10,27.15,15
27b,4.47,30,1.05,28.66,15
27b,3.39,30,1.17,25.74,15
27b,3.84,30,1.19,25.23,15
27b,3.89,30,1.10,27.17,15
27b,4.42,30,1.04,28.77,15
27b,3.40,30,1.19,25.13,15
27b,3.86,30,1.20,24.92,15
27b,4.14,30,1.10,27.39,15
27b,4.28,30,1.07,28.14,15
27b,3.37,30,1.12,26.86,15
27b,3.87,30,1.14,26.34,15
27b,4.09,30,1.32,22.81,15
27b,4.31,30,1.35,22.25,15
27b,3.51,30,1.32,22.80,15
27b,3.77,30,1.37,21.86,15
27b,3.98,30,1.65,18.15,15
27b,3.82,30,1.72,17.47,15
27b,3.35,30,1.10,27.34,15
27b,3.91,30,1.13,26.48,15
27b,3.81,30,1.11,27.01,15
27b,4.64,30,1.05,28.68,15
27b,3.40,30,1.13,26.66,15
27b,3.87,30,1.16,25.85,15
27b,4.05,30,1.33,22.54,15
27b,4.25,30,1.35,22.23,15
27b,3.41,30,1.20,25.09,15
27b,3.80,30,1.25,24.03,15
27b,3.98,30,1.30,23.05,15
27b,4.22,30,1.32,22.73,15
27b,3.40,30,1.17,25.75,15
27b,3.85,30,1.19,25.20,15
27b,3.98,30,1.13,26.62,15
27b,4.28,30,1.12,26.90,15
27b,3.57,30,1.31,22.96,15
27b,3.91,30,1.31,22.92,15
27b,3.99,30,1.67,17.95,15
27b,3.83,30,1.72,17.41,15
