model_size,init_time,tokens,decode_time,speed,count
4b,0.94,30,0.37,80.22,15
4b,1.14,30,0.38,78.36,15
4b,1.13,30,0.42,71.33,15
4b,1.23,30,0.37,80.23,15
4b,1.27,30,0.38,78.53,15
4b,1.15,30,0.38,78.01,15
4b,1.22,30,0.38,78.51,15
4b,1.04,30,0.41,73.55,15
4b,1.21,30,0.42,70.99,15
4b,1.19,30,0.40,75.40,15
4b,1.19,30,0.39,76.02,15
4b,1.15,30,0.40,75.35,15
4b,1.23,30,0.38,79.77,15
4b,1.27,30,0.37,80.52,15
4b,1.30,30,0.37,81.12,15
4b,0.94,30,0.38,79.21,15
4b,1.18,30,0.38,79.78,15
4b,1.22,30,0.38,78.99,15
4b,1.13,30,0.38,78.43,15
4b,1.20,30,0.38,79.31,15
4b,1.28,30,0.38,78.56,15
4b,1.18,30,0.38,79.10,15
4b,1.25,30,0.38,78.92,15
4b,1.12,30,0.39,76.18,15
4b,1.19,30,0.38,79.46,15
4b,1.21,30,0.37,80.41,15
4b,1.13,30,0.38,77.98,15
4b,1.19,30,0.38,79.28,15
4b,1.21,30,0.37,80.02,15
4b,1.24,30,0.37,81.64,15
4b,0.94,30,0.38,79.54,15
4b,1.11,30,0.37,80.33,15
4b,1.17,30,0.38,79.10,15
4b,1.20,30,0.37,80.43,15
4b,1.14,30,0.41,73.47,15
4b,1.11,30,0.42,71.51,15
4b,1.20,30,0.37,80.48,15
4b,1.31,30,0.38,78.14,15
4b,1.09,30,0.40,74.90,15
4b,1.25,30,0.38,78.29,15
4b,1.12,30,0.40,75.87,15
4b,1.27,30,0.38,79.46,15
4b,1.14,30,0.39,77.78,15
4b,1.27,30,0.37,80.02,15
4b,1.10,30,0.38,78.82,15
4b,1.08,30,0.42,71.37,15
4b,1.19,30,0.38,78.48,15
4b,1.14,30,0.40,74.08,15
4b,1.28,30,0.39,77.76,15
4b,1.12,30,0.39,76.39,15
4b,1.21,30,0.38,77.96,15
4b,1.16,30,0.39,76.52,15
4b,1.26,30,0.38,78.54,15
4b,1.17,30,0.39,77.44,15
4b,1.23,30,0.38,79.00,15
4b,1.31,30,0.38,79.06,15
4b,1.10,30,0.40,74.12,15
4b,1.19,30,0.37,80.19,15
4b,1.11,30,0.41,72.77,15
4b,1.19,30,0.37,81.34,15
4b,1.08,30,0.43,70.46,15
4b,1.08,30,0.42,72.27,15
4b,1.18,30,0.38,78.64,15
4b,1.15,30,0.42,72.20,15
4b,1.28,30,0.43,69.32,15
4b,1.07,30,0.42,71.49,15
4b,1.17,30,0.38,78.74,15
4b,1.13,30,0.41,73.80,15
4b,1.20,30,0.37,80.38,15
4b,1.14,30,0.40,75.94,15
4b,1.11,30,0.41,73.54,15
4b,1.10,30,0.41,73.64,15
4b,1.18,30,0.38,79.52,15
4b,1.22,30,0.38,79.02,15
4b,1.25,30,0.37,81.15,15
4b,0.94,30,0.38,79.07,15
4b,1.11,30,0.37,80.81,15
4b,1.24,30,0.39,76.30,15
4b,0.98,30,0.42,71.67,15
4b,1.18,30,0.39,77.86,15
4b,1.24,30,0.37,80.22,15
4b,1.13,30,0.39,76.65,15
4b,1.16,30,0.40,74.48,15
4b,1.28,30,0.38,78.84,15
4b,1.08,30,0.41,73.44,15
