model_size,init_time,tokens,decode_time,speed,count
4b,1.10,30,0.40,74.85,5
4b,1.14,30,0.43,69.43,5
4b,1.24,30,0.42,71.68,5
4b,1.34,30,0.42,71.71,5
4b,1.12,30,0.41,72.91,5
4b,1.02,30,0.44,67.78,5
4b,1.24,30,0.40,75.41,5
4b,1.07,30,0.43,69.27,5
4b,1.20,30,0.40,74.47,5
4b,1.16,30,0.40,75.30,5
4b,1.11,30,0.39,76.26,5
4b,1.26,30,0.40,74.92,5
4b,1.10,30,0.43,70.03,5
4b,1.33,30,0.44,68.28,5
4b,1.27,30,0.41,72.98,5
4b,1.01,30,0.43,69.39,5
4b,1.26,30,0.41,72.29,5
4b,1.08,30,0.48,62.56,5
4b,1.24,30,0.40,75.68,5
4b,1.23,30,0.43,69.71,5
4b,1.01,30,0.43,70.44,5
4b,1.16,30,0.41,73.96,5
4b,1.09,30,0.41,74.00,5
4b,1.20,30,0.40,75.08,5
4b,1.11,30,0.37,80.66,5
4b,1.01,30,0.46,64.91,5
4b,1.18,30,0.40,74.29,5
4b,1.07,30,0.40,75.14,5
4b,1.20,30,0.40,74.74,5
4b,1.16,30,0.42,71.69,5
4b,1.01,30,0.43,70.40,5
4b,1.24,30,0.40,74.51,5
4b,1.22,30,0.41,72.55,5
4b,1.29,30,0.41,73.51,5
4b,1.16,30,0.40,74.59,5
4b,1.00,30,0.43,70.22,5
4b,1.18,30,0.40,74.46,5
4b,1.30,30,0.40,74.91,5
4b,1.13,30,0.40,74.10,5
4b,1.22,30,0.37,80.33,5
4b,1.00,30,0.42,71.57,5
4b,1.14,30,0.40,74.26,5
4b,1.11,30,0.40,74.98,5
4b,1.18,30,0.41,73.91,5
4b,1.29,30,0.39,77.07,5
4b,1.00,30,0.40,74.45,5
4b,1.15,30,0.40,74.11,5
4b,1.09,30,0.41,72.78,5
4b,1.19,30,0.40,75.34,5
4b,1.31,30,0.39,76.04,5
4b,1.01,30,0.41,72.62,5
4b,1.16,30,0.41,73.50,5
4b,1.25,30,0.38,79.65,5
4b,1.10,30,0.41,73.02,5
4b,1.18,30,0.39,75.97,5
4b,1.00,30,0.41,72.98,5
4b,1.13,30,0.41,73.36,5
4b,1.11,30,0.43,69.44,5
4b,1.21,30,0.40,75.16,5
4b,1.27,30,0.39,77.01,5
4b,1.00,30,0.40,74.44,5
4b,1.24,30,0.41,73.19,5
4b,1.08,30,0.45,66.51,5
4b,1.22,30,0.40,74.24,5
4b,1.11,30,0.38,79.87,5
4b,1.15,30,0.40,75.65,5
4b,1.27,30,0.40,74.64,5
4b,1.07,30,0.43,70.35,5
4b,1.24,30,0.38,79.05,5
4b,1.11,30,0.40,75.55,5
4b,1.00,30,0.41,72.81,5
4b,1.13,30,0.41,72.82,5
4b,1.13,30,0.44,68.18,5
4b,1.19,30,0.42,71.77,5
4b,1.26,30,0.39,77.31,5
4b,1.00,30,0.40,74.55,5
4b,1.23,30,0.40,74.18,5
4b,1.08,30,0.42,70.94,5
4b,1.32,30,0.44,67.53,5
4b,1.13,30,0.40,75.19,5
4b,1.17,30,0.44,67.52,5
4b,1.14,30,0.46,65.05,5
4b,1.15,30,0.38,78.00,5
4b,1.29,30,0.39,77.78,5
4b,1.12,30,0.40,74.37,5
4b,1.01,30,0.45,66.57,5
4b,1.18,30,0.40,74.44,5
4b,1.13,30,0.41,73.14,5
4b,1.22,30,0.40,74.48,5
4b,1.11,30,0.38,79.62,5
4b,1.02,30,0.44,68.36,5
4b,1.16,30,0.40,74.84,5
4b,1.30,30,0.41,73.39,5
4b,1.21,30,0.40,74.69,5
4b,1.16,30,0.37,80.50,5
4b,1.01,30,0.42,71.79,5
4b,1.26,30,0.45,66.79,5
4b,1.09,30,0.42,71.32,5
4b,1.24,30,0.40,75.72,5
4b,1.23,30,0.44,67.67,5
4b,1.01,30,0.43,70.54,5
4b,1.20,30,0.38,79.94,5
4b,1.25,30,0.40,74.91,5
4b,1.12,30,0.44,68.70,5
4b,1.23,30,0.39,77.67,5
4b,1.00,30,0.40,74.58,5
4b,1.25,30,0.41,73.03,5
4b,1.19,30,0.38,78.49,5
4b,1.23,30,0.40,75.62,5
4b,1.18,30,0.40,75.09,5
4b,1.01,30,0.41,72.56,5
4b,1.24,30,0.41,73.99,5
4b,1.10,30,0.42,70.74,5
4b,1.21,30,0.39,76.52,5
4b,1.35,30,0.39,76.76,5
4b,1.01,30,0.44,68.15,5
4b,1.16,30,0.41,72.70,5
4b,1.11,30,0.39,76.24,5
4b,1.17,30,0.40,75.47,5
4b,1.10,30,0.41,72.41,5
4b,1.16,30,0.40,74.40,5
4b,1.09,30,0.40,75.57,5
4b,1.27,30,0.40,74.14,5
4b,1.08,30,0.39,76.70,5
4b,1.32,30,0.40,75.64,5
4b,1.00,30,0.42,71.67,5
4b,1.22,30,0.40,74.81,5
4b,1.11,30,0.42,70.65,5
4b,1.22,30,0.40,74.91,5
4b,1.19,30,0.40,75.03,5
4b,1.00,30,0.40,74.13,5
4b,1.16,30,0.40,75.76,5
4b,1.23,30,0.38,79.69,5
4b,1.13,30,0.43,70.28,5
4b,1.14,30,0.40,74.26,5
4b,1.00,30,0.43,69.00,5
4b,1.22,30,0.40,74.34,5
4b,1.32,30,0.40,74.66,5
4b,1.12,30,0.41,73.03,5
4b,1.26,30,0.41,72.63,5
4b,1.18,30,0.42,72.26,5
4b,1.29,30,0.40,74.82,5
4b,1.22,30,0.39,76.12,5
4b,1.31,30,0.37,80.32,5
4b,1.13,30,0.40,74.91,5
4b,1.00,30,0.40,74.61,5
4b,1.24,30,0.40,74.37,5
4b,1.10,30,0.41,72.74,5
4b,1.29,30,0.40,74.20,5
4b,1.12,30,0.39,76.75,5
4b,1.01,30,0.42,70.78,5
4b,1.22,30,0.40,75.14,5
4b,1.18,30,0.43,69.54,5
4b,1.16,30,0.43,69.33,5
4b,1.16,30,0.39,77.90,5
