model_size,init_time,tokens,decode_time,speed,count
27b,3.41,30,1.53,19.56,5
27b,3.38,30,1.57,19.11,5
27b,3.42,30,1.46,20.51,5
27b,3.46,30,1.53,19.56,5
27b,3.51,30,1.54,19.42,5
27b,3.49,30,1.59,18.89,5
27b,3.37,30,1.48,20.28,5
27b,3.41,30,1.51,19.87,5
27b,3.27,30,1.95,15.40,5
27b,3.82,30,1.98,15.16,5
27b,3.57,30,1.71,17.59,5
27b,3.36,30,1.76,17.03,5
27b,3.54,30,1.63,18.40,5
27b,3.40,30,1.68,17.83,5
27b,3.45,30,1.47,20.35,5
27b,3.49,30,1.52,19.79,5
27b,3.33,30,1.29,23.25,5
27b,3.57,30,1.31,22.85,5
27b,3.48,30,1.09,27.43,5
27b,4.03,30,1.08,27.69,5
27b,3.56,30,1.71,17.59,5
27b,3.36,30,1.76,17.07,5
27b,3.43,30,1.40,21.42,5
27b,3.65,30,1.39,21.62,5
27b,3.51,30,1.17,25.74,5
27b,3.89,30,1.18,25.42,5
27b,3.49,30,1.58,19.01,5
27b,3.40,30,1.63,18.46,5
27b,3.33,30,1.09,27.58,5
27b,3.80,30,1.10,27.39,5
27b,3.56,30,1.74,17.26,5
27b,3.33,30,1.79,16.71,5
27b,3.32,30,1.17,25.72,5
27b,3.73,30,1.16,25.90,5
27b,3.47,30,1.51,19.85,5
27b,3.48,30,1.54,19.46,5
27b,3.52,30,1.61,18.60,5
27b,3.43,30,1.67,17.95,5
27b,3.53,30,1.74,17.24,5
27b,3.31,30,1.79,16.72,5
27b,3.49,30,1.59,18.92,5
27b,3.43,30,1.62,18.54,5
27b,3.33,30,1.52,19.74,5
27b,3.35,30,1.54,19.42,5
27b,3.42,30,1.47,20.40,5
27b,3.64,30,1.43,21.03,5
27b,3.66,30,1.78,16.82,5
27b,3.42,30,1.81,16.59,5
27b,3.43,30,1.42,21.13,5
27b,3.53,30,1.45,20.71,5
27b,3.44,30,1.40,21.46,5
27b,3.59,30,1.42,21.15,5
27b,3.70,30,1.85,16.23,5
27b,3.41,30,1.86,16.11,5
27b,3.45,30,1.15,26.15,5
27b,3.89,30,1.15,26.13,5
27b,3.56,30,1.66,18.05,5
27b,3.47,30,1.68,17.88,5
27b,3.31,30,1.40,21.39,5
27b,3.44,30,1.44,20.79,5
27b,3.41,30,1.36,22.08,5
27b,3.59,30,1.38,21.78,5
