model_size,init_time,tokens,decode_time,speed,count
27b,5.41,30,1.20,24.95,10
27b,4.05,30,1.02,29.47,10
27b,3.83,30,0.97,31.07,10
27b,3.21,30,0.96,31.12,10
27b,3.15,30,0.96,31.19,10
27b,3.16,30,0.97,30.97,10
27b,3.16,30,0.96,31.19,10
27b,4.02,30,0.97,30.92,10
27b,4.22,30,0.96,31.15,10
27b,3.51,30,0.96,31.12,10
27b,5.44,30,1.17,25.69,10
27b,3.24,30,0.96,31.14,10
27b,3.42,30,0.96,31.21,10
27b,3.34,30,0.96,31.20,10
27b,3.40,30,0.96,31.12,10
27b,3.16,30,0.96,31.21,10
27b,3.37,30,0.96,31.11,10
27b,3.35,30,0.96,31.25,10
27b,3.36,30,0.97,31.04,10
27b,4.05,30,0.96,31.20,10
27b,5.83,30,1.17,25.71,10
27b,3.16,30,0.96,31.15,10
27b,3.36,30,0.97,31.08,10
27b,3.16,30,0.96,31.19,10
27b,3.29,30,0.96,31.20,10
27b,3.12,30,0.96,31.21,10
27b,4.03,30,0.97,31.00,10
27b,4.18,30,0.97,31.08,10
27b,3.34,30,0.96,31.16,10
27b,4.07,30,0.97,30.96,10
27b,5.80,30,1.16,25.80,10
27b,3.18,30,0.96,31.23,10
27b,3.39,30,0.98,30.69,10
27b,4.04,30,0.97,30.88,10
27b,4.15,30,0.96,31.23,10
27b,4.03,30,0.97,31.00,10
27b,4.27,30,0.97,30.95,10
27b,3.52,30,0.97,31.00,10
27b,3.32,30,0.96,31.26,10
27b,4.05,30,0.99,30.33,10
27b,5.96,30,1.18,25.50,10
27b,3.40,30,0.97,30.93,10
27b,3.76,30,0.99,30.24,10
27b,3.86,30,0.97,30.92,10
27b,3.73,30,0.97,31.07,10
27b,3.66,30,0.97,30.94,10
27b,3.90,30,0.97,30.96,10
27b,3.80,30,0.96,31.14,10
27b,4.16,30,0.96,31.17,10
27b,4.07,30,0.97,31.00,10
27b,5.89,30,1.18,25.41,10
27b,3.52,30,0.97,30.89,10
27b,3.16,30,0.97,31.08,10
27b,3.15,30,0.96,31.19,10
27b,3.22,30,0.97,31.08,10
27b,4.04,30,0.97,30.88,10
27b,4.09,30,0.97,30.83,10
27b,4.02,30,0.97,31.06,10
27b,3.81,30,0.97,30.86,10
27b,3.98,30,0.96,31.21,10
27b,5.21,30,1.17,25.69,10
27b,3.35,30,0.96,31.12,10
27b,3.96,30,0.97,30.92,10
27b,4.15,30,0.96,31.12,10
27b,3.42,30,0.97,30.88,10
27b,4.01,30,0.97,30.99,10
27b,3.80,30,0.97,31.08,10
27b,4.01,30,0.96,31.13,10
27b,3.36,30,0.96,31.22,10
27b,4.02,30,0.97,30.87,10
27b,5.95,30,1.17,25.68,10
27b,3.35,30,0.96,31.20,10
27b,3.38,30,0.97,31.08,10
27b,3.21,30,0.97,30.98,10
27b,3.40,30,0.96,31.20,10
27b,3.45,30,0.96,31.17,10
27b,3.72,30,0.97,30.89,10
27b,3.99,30,0.97,30.92,10
27b,4.08,30,0.97,31.03,10
27b,4.33,30,0.97,30.95,10
27b,5.18,30,1.16,25.79,10
27b,3.21,30,0.96,31.21,10
27b,3.36,30,0.96,31.11,10
27b,3.28,30,0.97,31.02,10
27b,3.33,30,0.96,31.21,10
27b,3.32,30,0.97,31.05,10
27b,3.16,30,0.96,31.25,10
27b,3.81,30,0.97,30.91,10
27b,3.94,30,0.96,31.27,10
27b,4.05,30,0.97,30.97,10
27b,6.46,30,1.21,24.70,10
27b,3.28,30,0.97,30.96,10
27b,3.55,30,0.97,30.91,10
27b,3.32,30,0.97,31.04,10
27b,3.35,30,0.97,31.06,10
27b,3.49,30,0.97,31.04,10
27b,3.30,30,0.97,31.08,10
27b,3.49,30,0.97,31.08,10
27b,3.67,30,0.97,30.97,10
27b,3.33,30,0.97,30.99,10
27b,5.60,30,1.20,24.94,10
27b,3.20,30,0.96,31.13,10
27b,3.54,30,0.97,30.98,10
27b,3.34,30,0.97,30.97,10
27b,3.30,30,0.97,31.07,10
27b,3.52,30,0.97,30.99,10
27b,3.33,30,0.97,31.01,10
27b,3.35,30,0.97,31.03,10
27b,3.52,30,0.97,31.06,10
27b,3.33,30,0.96,31.10,10
27b,5.19,30,1.16,25.80,10
27b,3.65,30,0.96,31.16,10
27b,3.16,30,0.96,31.12,10
27b,3.91,30,1.00,30.12,10
27b,3.93,30,0.96,31.10,10
27b,3.25,30,0.96,31.13,10
27b,3.34,30,0.96,31.22,10
27b,4.02,30,0.96,31.09,10
27b,4.33,30,0.96,31.14,10
27b,3.37,30,0.97,31.04,10
27b,5.03,30,1.16,25.81,10
27b,3.18,30,0.96,31.24,10
27b,3.39,30,0.96,31.20,10
27b,3.98,30,0.96,31.16,10
27b,4.17,30,0.96,31.21,10
27b,4.01,30,0.97,30.98,10
27b,3.98,30,0.96,31.16,10
27b,4.04,30,0.97,30.97,10
27b,4.16,30,0.96,31.27,10
27b,3.51,30,0.97,30.96,10
27b,5.33,30,1.17,25.54,10
27b,3.86,30,0.97,30.81,10
27b,3.64,30,0.96,31.10,10
27b,3.14,30,0.96,31.10,10
27b,3.34,30,0.96,31.11,10
27b,3.66,30,0.96,31.09,10
27b,3.55,30,0.96,31.12,10
27b,3.63,30,0.96,31.13,10
27b,3.45,30,0.96,31.23,10
27b,3.93,30,0.97,30.96,10
27b,5.94,30,1.17,25.59,10
27b,3.54,30,0.97,30.90,10
27b,3.20,30,0.97,30.93,10
27b,3.74,30,0.97,31.07,10
27b,3.67,30,0.97,30.92,10
27b,3.36,30,0.97,30.96,10
27b,3.32,30,0.96,31.12,10
27b,3.26,30,0.97,30.93,10
27b,3.36,30,0.96,31.15,10
27b,4.04,30,0.96,31.10,10
27b,5.94,30,1.17,25.63,10
27b,3.24,30,0.96,31.23,10
27b,3.36,30,0.97,31.02,10
27b,4.07,30,0.97,30.88,10
27b,4.17,30,0.96,31.11,10
27b,3.14,30,0.96,31.23,10
27b,4.03,30,0.96,31.14,10
27b,3.78,30,0.97,30.93,10
27b,4.15,30,0.96,31.26,10
27b,3.54,30,0.97,30.85,10
27b,5.22,30,1.17,25.64,10
27b,3.97,30,0.97,30.98,10
27b,3.58,30,0.96,31.23,10
27b,3.45,30,0.97,31.06,10
27b,3.54,30,0.96,31.10,10
27b,3.42,30,0.97,30.94,10
27b,3.39,30,0.96,31.12,10
27b,4.04,30,0.97,30.93,10
27b,3.82,30,0.97,31.02,10
27b,3.79,30,0.97,30.99,10
27b,5.99,30,1.17,25.68,10
27b,3.53,30,0.97,30.85,10
27b,3.30,30,0.96,31.23,10
27b,4.03,30,0.97,30.90,10
27b,3.92,30,0.96,31.22,10
27b,3.16,30,0.96,31.22,10
27b,3.82,30,0.99,30.34,10
27b,4.07,30,0.97,30.92,10
27b,4.14,30,0.97,31.08,10
27b,4.10,30,1.00,30.13,10
27b,5.53,30,1.17,25.63,10
27b,3.18,30,0.96,31.21,10
27b,3.45,30,0.96,31.18,10
27b,3.15,30,0.96,31.19,10
27b,3.32,30,0.96,31.11,10
27b,3.15,30,0.96,31.20,10
27b,3.56,30,0.96,31.21,10
27b,3.54,30,0.96,31.13,10
27b,4.00,30,0.97,30.96,10
27b,3.80,30,0.97,30.97,10
27b,5.97,30,1.17,25.67,10
27b,3.82,30,0.97,30.91,10
27b,3.14,30,0.96,31.14,10
27b,3.33,30,0.96,31.09,10
27b,3.33,30,0.96,31.22,10
27b,3.61,30,0.97,30.98,10
27b,3.42,30,0.96,31.21,10
27b,4.04,30,0.97,31.04,10
27b,4.13,30,0.96,31.24,10
27b,4.06,30,0.96,31.16,10
27b,5.80,30,1.17,25.73,10
27b,3.17,30,0.96,31.16,10
27b,3.14,30,0.96,31.12,10
27b,3.72,30,0.97,31.06,10
27b,3.67,30,0.97,30.99,10
27b,3.16,30,0.96,31.23,10
27b,3.39,30,0.97,31.09,10
27b,4.06,30,0.96,31.10,10
27b,4.14,30,0.96,31.25,10
27b,3.70,30,0.97,30.95,10
27b,5.90,30,1.21,24.88,10
27b,3.35,30,0.97,31.02,10
27b,3.70,30,0.97,30.86,10
27b,3.36,30,0.97,30.94,10
27b,3.43,30,0.97,30.93,10
27b,3.49,30,0.97,30.99,10
27b,4.01,30,0.97,30.94,10
27b,4.23,30,0.97,30.96,10
27b,3.16,30,0.96,31.19,10
27b,3.17,30,0.97,31.05,10
27b,5.22,30,1.16,25.84,10
27b,3.48,30,0.97,31.02,10
27b,3.14,30,0.96,31.16,10
27b,3.34,30,0.96,31.15,10
27b,3.33,30,0.97,31.08,10
27b,4.04,30,0.97,30.88,10
27b,3.83,30,0.97,30.93,10
27b,4.12,30,0.96,31.15,10
27b,3.12,30,0.96,31.12,10
27b,3.35,30,0.96,31.18,10
27b,5.03,30,1.17,25.74,10
27b,3.16,30,0.96,31.22,10
27b,3.33,30,0.97,31.04,10
27b,3.28,30,0.99,30.41,10
27b,3.33,30,0.96,31.20,10
27b,3.17,30,0.96,31.21,10
27b,3.34,30,0.96,31.22,10
27b,4.06,30,0.97,31.03,10
27b,4.17,30,0.96,31.22,10
27b,4.08,30,0.97,30.92,10
27b,6.41,30,1.21,24.78,10
27b,3.44,30,0.97,30.95,10
27b,3.33,30,0.97,31.06,10
27b,3.33,30,0.97,31.05,10
27b,3.33,30,0.97,30.90,10
27b,3.51,30,0.97,30.93,10
27b,3.88,30,0.96,31.14,10
27b,4.29,30,0.97,30.88,10
27b,3.92,30,0.97,31.02,10
27b,4.62,30,0.97,31.00,10
27b,5.65,30,1.20,24.91,10
27b,3.50,30,0.97,31.04,10
27b,3.53,30,0.97,30.89,10
27b,3.31,30,0.97,31.06,10
27b,3.36,30,0.96,31.11,10
27b,3.35,30,0.97,31.03,10
27b,3.35,30,0.97,30.97,10
27b,3.56,30,0.96,31.09,10
27b,3.53,30,0.97,30.98,10
27b,3.34,30,0.96,31.15,10
27b,5.03,30,1.17,25.65,10
27b,3.57,30,0.96,31.09,10
27b,3.44,30,0.97,31.07,10
27b,3.82,30,0.96,31.16,10
27b,3.77,30,0.97,31.00,10
27b,3.41,30,0.96,31.11,10
27b,4.04,30,0.96,31.18,10
27b,4.14,30,0.96,31.15,10
27b,3.17,30,0.97,31.01,10
27b,4.08,30,0.97,31.00,10
27b,5.96,30,1.17,25.62,10
27b,3.67,30,0.96,31.23,10
27b,3.37,30,0.96,31.09,10
27b,3.35,30,0.97,31.06,10
27b,3.82,30,0.97,30.85,10
27b,3.92,30,0.96,31.09,10
27b,3.33,30,0.96,31.20,10
27b,3.34,30,0.97,30.83,10
27b,3.68,30,0.97,31.03,10
27b,3.87,30,0.97,30.96,10
27b,6.64,30,1.21,24.83,10
27b,3.47,30,0.97,31.06,10
27b,3.58,30,0.97,30.95,10
27b,3.50,30,0.97,31.04,10
27b,3.34,30,0.97,30.99,10
27b,3.51,30,0.97,30.95,10
27b,3.35,30,0.97,30.97,10
27b,3.36,30,0.96,31.11,10
27b,3.33,30,0.97,31.08,10
27b,3.49,30,0.97,30.97,10
27b,5.65,30,1.21,24.88,10
27b,3.32,30,0.97,30.95,10
27b,3.53,30,0.97,31.01,10
27b,3.31,30,0.97,30.97,10
27b,3.37,30,0.97,30.96,10
27b,3.51,30,0.97,31.04,10
27b,3.51,30,0.97,30.96,10
27b,3.52,30,0.97,31.00,10
27b,3.90,30,0.97,30.96,10
27b,4.13,30,0.97,31.06,10
27b,5.19,30,1.16,25.76,10
27b,3.36,30,0.96,31.14,10
27b,3.16,30,0.97,31.03,10
27b,3.38,30,0.97,31.04,10
27b,3.36,30,0.97,30.78,10
27b,3.35,30,0.97,30.98,10
27b,3.36,30,0.96,31.12,10
27b,3.48,30,0.97,31.00,10
27b,3.35,30,0.97,31.07,10
27b,3.40,30,0.97,31.01,10
