model_size,init_time,tokens,decode_time,speed,count
4b,1.16,30,0.39,77.58,1
4b,1.08,30,0.39,77.65,1
4b,1.00,30,0.41,73.19,1
4b,1.01,30,0.42,72.19,1
4b,1.01,30,0.40,75.59,1
4b,1.12,30,0.39,77.03,1
4b,1.01,30,0.39,76.27,1
4b,1.01,30,0.40,75.04,1
4b,1.01,30,0.40,75.19,1
4b,1.01,30,0.40,75.33,1
4b,1.02,30,0.40,74.85,1
4b,1.01,30,0.40,74.29,1
4b,1.01,30,0.40,74.42,1
4b,1.02,30,0.40,74.19,1
4b,1.14,30,0.39,76.58,1
4b,1.00,30,0.40,74.10,1
4b,1.09,30,0.39,75.98,1
4b,1.01,30,0.40,74.19,1
4b,1.01,30,0.40,74.89,1
4b,1.01,30,0.40,74.84,1
4b,1.01,30,0.40,74.60,1
4b,1.09,30,0.39,76.01,1
4b,1.01,30,0.40,74.11,1
4b,1.02,30,0.40,74.70,1
4b,1.15,30,0.39,76.20,1
4b,1.01,30,0.40,74.92,1
4b,1.01,30,0.40,74.13,1
4b,1.01,30,0.40,74.69,1
4b,1.05,30,0.42,71.99,1
4b,1.06,30,0.39,76.14,1
4b,1.01,30,0.41,73.98,1
