model_size,init_time,tokens,decode_time,speed,count
27b,3.88,30,1.84,16.29,5
27b,4.53,30,1.89,15.88,5
27b,3.97,30,1.68,17.91,5
27b,3.79,30,1.73,17.38,5
27b,4.06,30,1.70,17.61,5
27b,3.84,30,1.77,16.97,5
27b,4.10,30,1.67,17.99,5
27b,3.92,30,1.73,17.36,5
27b,4.04,30,1.82,16.45,5
27b,3.71,30,1.87,16.06,5
27b,4.14,30,1.95,15.35,5
27b,3.71,30,1.98,15.17,5
27b,3.49,30,1.08,27.72,5
27b,3.98,30,1.10,27.33,5
27b,4.05,30,1.78,16.84,5
27b,3.76,30,1.83,16.35,5
27b,3.42,30,1.09,27.63,5
27b,4.68,30,1.05,28.70,5
27b,3.22,30,1.09,27.56,5
27b,3.96,30,1.07,28.12,5
27b,3.63,30,1.98,15.18,5
27b,4.19,30,1.98,15.15,5
27b,3.20,30,1.09,27.46,5
27b,4.18,30,1.05,28.68,5
27b,3.48,30,1.10,27.16,5
27b,4.76,30,1.08,27.82,5
27b,3.80,30,1.22,24.56,5
27b,4.10,30,1.26,23.74,5
27b,3.20,30,1.08,27.68,5
27b,3.94,30,1.09,27.61,5
27b,4.04,30,1.68,17.87,5
27b,3.84,30,1.73,17.33,5
27b,3.49,30,1.09,27.50,5
27b,4.51,30,1.04,28.76,5
27b,3.21,30,1.09,27.47,5
27b,4.33,30,1.05,28.68,5
27b,4.03,30,1.65,18.18,5
27b,3.88,30,1.69,17.71,5
27b,3.48,30,1.33,22.48,5
27b,3.66,30,1.37,21.94,5
27b,4.04,30,1.75,17.19,5
27b,3.79,30,1.79,16.78,5
27b,3.48,30,1.97,15.25,5
27b,4.05,30,1.97,15.19,5
27b,3.20,30,1.09,27.50,5
27b,4.03,30,1.05,28.47,5
27b,4.03,30,1.57,19.12,5
27b,3.95,30,1.62,18.49,5
27b,3.69,30,1.76,17.02,5
27b,4.43,30,1.80,16.64,5
27b,3.67,30,1.18,25.37,5
27b,3.98,30,1.22,24.51,5
27b,3.64,30,1.82,16.44,5
27b,4.31,30,1.87,16.03,5
27b,3.81,30,1.52,19.70,5
27b,3.79,30,1.57,19.16,5
27b,4.02,30,1.59,18.88,5
27b,3.91,30,1.64,18.27,5
27b,4.02,30,1.52,19.69,5
27b,4.00,30,1.57,19.13,5
27b,4.02,30,1.60,18.80,5
27b,3.91,30,1.65,18.14,5
