model_size,init_time,tokens,decode_time,speed,count
4b,1.34,30,0.56,53.72,5
4b,1.07,30,0.44,67.92,5
4b,1.07,30,0.45,66.22,5
4b,1.07,30,0.37,80.71,5
4b,0.95,30,0.33,92.06,5
4b,1.46,30,0.53,56.17,5
4b,1.26,30,0.44,67.45,5
4b,0.97,30,0.34,89.31,5
4b,1.11,30,0.33,90.15,5
4b,1.25,30,0.33,91.95,5
4b,1.32,30,0.53,56.54,5
4b,1.07,30,0.44,67.68,5
4b,0.96,30,0.33,90.63,5
4b,1.09,30,0.40,75.02,5
4b,1.09,30,0.46,65.69,5
4b,1.38,30,0.60,49.94,5
4b,0.97,30,0.32,92.36,5
4b,1.08,30,0.46,65.10,5
4b,0.96,30,0.33,89.82,5
4b,1.05,30,0.45,66.39,5
4b,1.30,30,0.53,56.67,5
4b,1.07,30,0.44,68.41,5
4b,0.97,30,0.33,90.53,5
4b,1.09,30,0.41,72.61,5
4b,1.03,30,0.44,67.50,5
4b,1.34,30,0.52,57.34,5
4b,1.07,30,0.44,67.89,5
4b,1.08,30,0.45,66.26,5
4b,1.13,30,0.35,86.73,5
4b,1.04,30,0.33,91.65,5
4b,1.32,30,0.53,56.29,5
4b,0.94,30,0.32,92.99,5
4b,1.08,30,0.46,65.37,5
4b,1.08,30,0.38,79.15,5
4b,0.97,30,0.34,88.88,5
4b,1.38,30,0.54,55.34,5
4b,1.07,30,0.45,65.98,5
4b,1.07,30,0.45,66.46,5
4b,1.08,30,0.34,88.46,5
4b,1.01,30,0.52,57.45,5
4b,1.32,30,0.54,55.82,5
4b,1.08,30,0.44,68.53,5
4b,1.08,30,0.45,67.15,5
4b,1.05,30,0.37,82.03,5
4b,0.95,30,0.44,68.49,5
4b,1.35,30,0.53,56.62,5
4b,1.07,30,0.43,69.66,5
4b,1.08,30,0.45,67.10,5
4b,1.09,30,0.50,60.18,5
4b,1.02,30,0.51,59.25,5
4b,1.45,30,0.54,55.15,5
4b,1.06,30,0.45,67.19,5
4b,0.96,30,0.33,91.96,5
4b,1.07,30,0.34,87.49,5
4b,0.96,30,0.40,74.14,5
4b,1.23,30,0.54,55.60,5
4b,1.07,30,0.45,67.20,5
4b,1.07,30,0.45,66.93,5
4b,0.96,30,0.34,89.42,5
4b,0.94,30,0.34,89.16,5
4b,1.29,30,0.53,56.79,5
4b,1.07,30,0.44,68.67,5
4b,1.09,30,0.45,67.23,5
4b,1.06,30,0.33,92.24,5
4b,1.07,30,0.50,60.49,5
4b,1.31,30,0.53,56.40,5
4b,1.07,30,0.45,67.12,5
4b,1.07,30,0.44,67.51,5
4b,1.07,30,0.32,92.34,5
4b,0.96,30,0.50,59.98,5
4b,1.30,30,0.54,55.73,5
4b,1.07,30,0.45,67.23,5
4b,1.08,30,0.46,65.37,5
4b,1.06,30,0.34,89.26,5
4b,1.04,30,0.47,63.90,5
4b,1.34,30,0.52,57.63,5
4b,1.05,30,0.44,67.69,5
4b,1.07,30,0.45,66.52,5
4b,0.97,30,0.33,91.93,5
4b,0.93,30,0.33,90.56,5
4b,1.31,30,0.54,55.78,5
4b,1.08,30,0.45,66.25,5
4b,0.96,30,0.34,89.37,5
4b,1.08,30,0.46,64.84,5
4b,1.13,30,0.43,69.65,5
4b,1.19,30,0.53,56.81,5
4b,0.94,30,0.32,93.74,5
4b,1.07,30,0.46,65.63,5
4b,0.96,30,0.32,93.06,5
4b,1.06,30,0.37,81.39,5
4b,1.52,30,0.53,56.36,5
4b,1.06,30,0.45,66.19,5
4b,0.95,30,0.36,84.48,5
4b,0.92,30,0.35,84.67,5
4b,1.04,30,0.49,60.85,5
4b,1.33,30,0.53,56.79,5
4b,1.07,30,0.44,67.80,5
4b,1.07,30,0.46,65.58,5
4b,0.96,30,0.33,90.92,5
4b,0.92,30,0.38,78.69,5
4b,1.40,30,0.54,55.36,5
4b,1.06,30,0.44,68.77,5
4b,1.05,30,0.45,66.12,5
4b,1.06,30,0.50,59.65,5
4b,1.08,30,0.37,81.09,5
4b,1.29,30,0.53,56.45,5
4b,1.07,30,0.44,67.57,5
4b,0.97,30,0.33,91.76,5
4b,1.07,30,0.40,75.11,5
4b,0.97,30,0.33,89.86,5
4b,1.29,30,0.54,55.83,5
4b,1.08,30,0.45,66.97,5
4b,1.08,30,0.46,64.84,5
4b,1.09,30,0.34,87.72,5
4b,1.09,30,0.33,90.27,5
4b,1.29,30,0.52,57.17,5
4b,1.06,30,0.44,67.73,5
4b,1.08,30,0.45,66.40,5
4b,1.05,30,0.34,89.21,5
4b,1.08,30,0.53,56.13,5
4b,1.34,30,0.56,53.87,5
4b,1.09,30,0.44,68.95,5
4b,0.96,30,0.33,89.95,5
4b,1.02,30,0.39,77.10,5
4b,0.97,30,0.32,92.86,5
4b,1.29,30,0.53,56.47,5
4b,1.07,30,0.43,69.41,5
4b,1.08,30,0.44,67.95,5
4b,1.04,30,0.33,91.65,5
4b,1.07,30,0.44,68.71,5
4b,1.31,30,0.55,54.69,5
4b,1.09,30,0.45,66.26,5
4b,1.07,30,0.45,67.18,5
4b,1.04,30,0.34,89.28,5
4b,1.07,30,0.50,60.48,5
4b,1.31,30,0.52,57.20,5
4b,1.16,30,0.45,67.37,5
4b,1.06,30,0.45,66.55,5
4b,1.07,30,0.34,89.29,5
4b,0.98,30,0.34,89.17,5
4b,1.44,30,0.53,56.47,5
4b,1.09,30,0.45,66.10,5
4b,0.96,30,0.33,89.66,5
4b,1.09,30,0.34,88.87,5
4b,1.03,30,0.40,74.84,5
4b,1.28,30,0.52,57.22,5
4b,1.08,30,0.45,66.98,5
4b,0.96,30,0.33,89.73,5
4b,1.09,30,0.39,77.38,5
4b,1.08,30,0.34,88.79,5
4b,1.23,30,0.54,55.85,5
4b,1.24,30,0.44,67.84,5
4b,1.07,30,0.44,68.54,5
4b,0.96,30,0.34,88.27,5
4b,0.99,30,0.33,89.93,5
