model_size,init_time,tokens,decode_time,speed,count
1b,0.68,30,0.27,110.51,10
1b,0.67,30,0.27,110.78,10
1b,0.81,30,0.28,108.91,10
1b,0.81,30,0.27,111.39,10
1b,0.75,30,0.27,111.72,10
1b,0.79,30,0.27,112.29,10
1b,0.76,30,0.28,108.41,10
1b,0.75,30,0.27,109.68,10
1b,0.73,30,0.27,111.26,10
1b,0.82,30,0.32,94.97,10
1b,0.70,30,0.27,110.75,10
1b,0.82,30,0.32,93.68,10
1b,0.79,30,0.28,108.99,10
1b,0.86,30,0.32,94.73,10
1b,0.73,30,0.28,106.89,10
1b,0.71,30,0.27,110.76,10
1b,0.85,30,0.29,102.83,10
1b,0.79,30,0.27,111.09,10
1b,0.73,30,0.27,112.12,10
1b,0.69,30,0.27,110.54,10
1b,0.69,30,0.27,111.81,10
1b,0.67,30,0.32,95.04,10
1b,0.82,30,0.28,108.98,10
1b,0.77,30,0.27,109.52,10
1b,0.77,30,0.27,110.23,10
1b,0.73,30,0.27,110.96,10
1b,0.83,30,0.27,111.17,10
1b,0.85,30,0.32,93.79,10
1b,0.80,30,0.27,110.19,10
1b,0.75,30,0.27,110.80,10
1b,0.67,30,0.27,109.12,10
1b,0.66,30,0.27,109.85,10
1b,0.84,30,0.29,103.30,10
1b,0.77,30,0.27,109.58,10
1b,0.74,30,0.27,109.95,10
1b,0.79,30,0.27,109.74,10
1b,0.75,30,0.27,111.75,10
1b,0.68,30,0.27,109.20,10
1b,0.82,30,0.27,109.91,10
1b,0.75,30,0.27,110.95,10
1b,0.69,30,0.27,110.68,10
1b,0.69,30,0.27,110.03,10
1b,0.73,30,0.27,111.63,10
1b,0.84,30,0.30,99.66,10
1b,0.80,30,0.27,109.48,10
1b,0.81,30,0.32,94.71,10
1b,0.80,30,0.27,110.38,10
1b,0.73,30,0.27,109.83,10
1b,0.71,30,0.27,111.07,10
1b,0.72,30,0.27,110.17,10
1b,0.77,30,0.32,93.26,10
1b,0.79,30,0.30,100.16,10
1b,0.75,30,0.27,110.52,10
1b,0.79,30,0.27,110.96,10
1b,0.88,30,0.32,93.56,10
1b,0.86,30,0.32,92.66,10
1b,0.71,30,0.27,109.27,10
1b,0.70,30,0.27,111.22,10
1b,0.81,30,0.27,110.22,10
1b,0.86,30,0.30,99.32,10
1b,0.80,30,0.32,93.12,10
1b,0.71,30,0.28,107.29,10
1b,0.80,30,0.32,94.29,10
1b,0.78,30,0.29,103.04,10
1b,0.86,30,0.32,92.64,10
1b,0.72,30,0.27,110.64,10
1b,0.73,30,0.27,110.20,10
1b,0.82,30,0.28,106.50,10
1b,0.84,30,0.32,94.09,10
1b,0.74,30,0.31,96.93,10
1b,0.69,30,0.27,111.71,10
1b,0.68,30,0.27,109.39,10
1b,0.84,30,0.32,93.76,10
1b,0.85,30,0.32,93.31,10
1b,0.75,30,0.29,103.78,10
1b,0.83,30,0.32,92.68,10
1b,0.74,30,0.32,93.83,10
1b,0.74,30,0.27,112.02,10
1b,0.81,30,0.32,95.03,10
1b,0.78,30,0.27,109.29,10
1b,0.70,30,0.27,110.18,10
1b,0.81,30,0.32,94.44,10
1b,0.80,30,0.27,110.41,10
1b,0.74,30,0.27,109.70,10
1b,0.81,30,0.32,93.07,10
1b,0.78,30,0.28,108.48,10
1b,0.73,30,0.27,109.94,10
1b,0.81,30,0.30,99.50,10
1b,0.85,30,0.30,100.40,10
1b,0.75,30,0.30,99.34,10
1b,0.79,30,0.31,96.58,10
1b,0.75,30,0.27,110.86,10
1b,0.80,30,0.27,110.05,10
1b,0.75,30,0.28,108.10,10
1b,0.74,30,0.27,110.76,10
1b,0.75,30,0.27,112.10,10
1b,0.74,30,0.27,110.70,10
1b,0.70,30,0.27,109.13,10
1b,0.77,30,0.27,110.98,10
1b,0.73,30,0.27,110.71,10
1b,0.68,30,0.27,110.84,10
1b,0.67,30,0.27,110.89,10
1b,0.85,30,0.32,93.28,10
1b,0.77,30,0.31,96.00,10
1b,0.75,30,0.27,110.75,10
1b,0.72,30,0.27,109.70,10
1b,0.85,30,0.32,94.34,10
1b,0.76,30,0.31,95.91,10
1b,0.79,30,0.27,110.15,10
1b,0.75,30,0.27,112.52,10
1b,0.68,30,0.27,110.43,10
1b,0.67,30,0.27,109.09,10
1b,0.84,30,0.27,111.42,10
1b,0.78,30,0.27,110.95,10
1b,0.85,30,0.32,94.30,10
1b,0.80,30,0.27,110.44,10
1b,0.73,30,0.27,111.36,10
1b,0.81,30,0.32,94.63,10
1b,0.80,30,0.27,111.54,10
1b,0.72,30,0.27,110.40,10
1b,0.69,30,0.27,111.11,10
1b,0.67,30,0.28,108.98,10
1b,0.80,30,0.27,109.82,10
1b,0.75,30,0.27,110.29,10
1b,0.70,30,0.27,112.27,10
1b,0.81,30,0.27,110.04,10
1b,0.77,30,0.27,110.62,10
1b,0.72,30,0.27,110.28,10
1b,0.71,30,0.27,110.80,10
1b,0.84,30,0.29,104.24,10
1b,0.68,30,0.27,110.93,10
1b,0.67,30,0.27,111.04,10
1b,0.82,30,0.27,111.25,10
