model_size,init_time,tokens,decode_time,speed,count
4b,1.37,30,0.66,45.71,15
4b,1.07,30,0.45,67.24,15
4b,1.08,30,0.45,67.02,15
4b,1.08,30,0.45,67.23,15
4b,0.97,30,0.33,92.08,15
4b,0.92,30,0.33,89.70,15
4b,1.10,30,0.35,86.86,15
4b,0.92,30,0.32,94.16,15
4b,1.07,30,0.32,93.94,15
4b,0.96,30,0.34,89.43,15
4b,0.93,30,0.33,89.86,15
4b,1.05,30,0.46,65.50,15
4b,0.97,30,0.45,66.36,15
4b,0.93,30,0.36,83.21,15
4b,1.08,30,0.45,66.79,15
4b,1.35,30,0.65,46.13,15
4b,1.06,30,0.44,67.82,15
4b,1.06,30,0.45,67.23,15
4b,1.06,30,0.45,67.21,15
4b,0.96,30,0.32,93.99,15
4b,1.07,30,0.44,68.33,15
4b,1.06,30,0.44,68.50,15
4b,0.97,30,0.33,89.65,15
4b,1.17,30,0.33,90.11,15
4b,1.07,30,0.44,68.01,15
4b,0.96,30,0.32,94.99,15
4b,0.93,30,0.32,93.93,15
4b,0.93,30,0.33,90.36,15
4b,1.07,30,0.44,68.95,15
4b,1.07,30,0.44,68.03,15
4b,1.32,30,0.53,56.85,15
4b,1.05,30,0.45,67.11,15
4b,1.07,30,0.45,67.17,15
4b,1.06,30,0.44,68.70,15
4b,1.16,30,0.44,67.57,15
4b,0.96,30,0.32,95.03,15
4b,1.06,30,0.45,67.03,15
4b,0.98,30,0.34,89.06,15
4b,1.08,30,0.46,64.99,15
4b,1.05,30,0.45,66.27,15
4b,0.98,30,0.32,93.50,15
4b,1.06,30,0.45,66.61,15
4b,0.97,30,0.32,92.73,15
4b,0.92,30,0.33,90.75,15
4b,1.08,30,0.45,67.13,15
4b,1.38,30,0.65,46.02,15
4b,0.98,30,0.43,69.39,15
4b,1.00,30,0.48,62.31,15
4b,0.98,30,0.44,68.76,15
4b,1.13,30,0.44,68.05,15
4b,1.03,30,0.31,96.46,15
4b,1.03,30,0.44,67.47,15
4b,1.01,30,0.45,67.24,15
4b,1.02,30,0.30,100.35,15
4b,1.02,30,0.45,67.21,15
4b,1.00,30,0.44,68.94,15
4b,1.02,30,0.44,67.64,15
4b,1.01,30,0.45,67.35,15
4b,1.00,30,0.44,67.61,15
4b,1.02,30,0.46,65.76,15
4b,1.29,30,0.67,44.98,15
4b,0.98,30,0.45,67.19,15
4b,1.04,30,0.32,93.46,15
4b,1.02,30,0.31,95.45,15
4b,1.03,30,0.43,69.00,15
4b,1.00,30,0.43,69.34,15
4b,0.99,30,0.44,67.44,15
4b,1.00,30,0.44,68.44,15
4b,1.03,30,0.31,96.78,15
4b,1.03,30,0.44,68.68,15
4b,0.99,30,0.44,67.89,15
4b,1.01,30,0.44,67.84,15
4b,1.02,30,0.38,77.96,15
4b,1.03,30,0.44,68.11,15
4b,1.00,30,0.45,66.53,15
4b,1.48,30,0.63,47.49,15
4b,1.05,30,0.45,67.18,15
4b,1.07,30,0.46,64.80,15
4b,1.08,30,0.45,67.14,15
4b,0.96,30,0.32,92.92,15
4b,1.07,30,0.43,69.01,15
4b,1.05,30,0.44,68.41,15
4b,0.97,30,0.34,89.17,15
4b,1.06,30,0.44,68.54,15
4b,0.96,30,0.33,92.07,15
4b,1.06,30,0.44,67.97,15
4b,0.97,30,0.33,90.08,15
4b,1.06,30,0.45,66.47,15
4b,1.08,30,0.45,67.34,15
4b,1.06,30,0.46,65.33,15
4b,1.36,30,0.67,45.06,15
4b,1.01,30,0.43,69.14,15
4b,0.99,30,0.43,69.71,15
4b,0.99,30,0.44,68.73,15
4b,1.09,30,0.44,68.14,15
4b,1.02,30,0.30,98.51,15
4b,1.03,30,0.44,68.32,15
4b,1.00,30,0.44,67.68,15
4b,1.00,30,0.45,67.26,15
4b,1.04,30,0.44,68.36,15
4b,1.06,30,0.34,89.00,15
4b,1.03,30,0.44,67.90,15
4b,1.03,30,0.40,75.77,15
4b,1.05,30,0.49,61.07,15
4b,1.03,30,0.39,77.18,15
4b,1.33,30,0.65,46.23,15
4b,1.06,30,0.44,68.56,15
4b,0.97,30,0.33,91.47,15
4b,1.08,30,0.45,66.73,15
4b,1.05,30,0.44,68.63,15
4b,1.09,30,0.45,66.05,15
4b,1.08,30,0.45,66.61,15
4b,0.96,30,0.32,92.92,15
4b,0.96,30,0.44,67.79,15
4b,1.07,30,0.50,60.03,15
4b,0.97,30,0.40,74.69,15
4b,0.94,30,0.44,67.76,15
4b,1.12,30,0.40,75.41,15
4b,0.95,30,0.33,90.15,15
4b,1.08,30,0.44,67.49,15
4b,1.35,30,0.66,45.20,15
4b,0.99,30,0.43,69.27,15
4b,0.99,30,0.44,68.75,15
